partition,mapped_class,difficulty_group,count
all,Cyclist,easy,654
all,Cyclist,hard,96
all,Cyclist,moderate,444
all,Cyclist,outside_standard_difficulty,433
all,Pedestrian,easy,2349
all,Pedestrian,hard,787
all,Pedestrian,moderate,1329
all,Pedestrian,outside_standard_difficulty,244
all,Vehicle,easy,6602
all,Vehicle,hard,6791
all,Vehicle,moderate,11128
all,Vehicle,outside_standard_difficulty,8229
train,Cyclist,easy,526
train,Cyclist,hard,72
train,Cyclist,moderate,334
train,Cyclist,outside_standard_difficulty,355
train,Pedestrian,easy,1871
train,Pedestrian,hard,630
train,Pedestrian,moderate,1033
train,Pedestrian,outside_standard_difficulty,195
train,Vehicle,easy,5301
train,Vehicle,hard,5453
train,Vehicle,moderate,8922
train,Vehicle,outside_standard_difficulty,6602
val,Cyclist,easy,128
val,Cyclist,hard,24
val,Cyclist,moderate,110
val,Cyclist,outside_standard_difficulty,78
val,Pedestrian,easy,478
val,Pedestrian,hard,157
val,Pedestrian,moderate,296
val,Pedestrian,outside_standard_difficulty,49
val,Vehicle,easy,1301
val,Vehicle,hard,1338
val,Vehicle,moderate,2206
val,Vehicle,outside_standard_difficulty,1627
