image_id,split,image_width,image_height,original_annotation_count,target_box_count,ignored_box_count,vehicle_count,pedestrian_count,cyclist_count,contains_vehicle,contains_pedestrian,contains_cyclist,target_empty,ignored_only,presence_signature,density_group,stratification_group
000000,train,1224,370,1,1,0,0,1,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000001,train,1242,375,7,3,4,2,0,1,True,False,True,False,False,V1_P0_C1,low,V1_P0_C1__low
000002,train,1242,375,2,1,1,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000003,val,1242,375,3,1,2,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000004,train,1242,375,7,2,5,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000005,val,1242,375,5,1,4,0,1,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000006,train,1238,374,6,4,2,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000007,train,1242,375,6,4,2,3,0,1,True,False,True,False,False,V1_P0_C1,medium,V1_P0_C1__medium
000008,train,1242,375,10,6,4,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000009,train,1242,375,5,3,2,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000010,val,1242,375,13,9,4,8,1,0,True,True,False,False,False,V1_P1_C0,high,V1_P1_C0__high
000011,train,1242,375,9,6,3,2,4,0,True,True,False,False,False,V1_P1_C0,medium,V1_P1_C0__medium
000012,train,1242,375,5,2,3,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000013,train,1242,375,2,1,1,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000014,train,1242,375,3,1,2,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000015,train,1238,374,10,5,5,1,4,0,True,True,False,False,False,V1_P1_C0,medium,V1_P1_C0__medium
000016,train,1242,375,22,5,17,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000017,train,1242,375,2,1,1,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000018,train,1242,375,20,2,18,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000019,train,1242,375,6,4,2,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
