partition,class_name,count,percentage
all,Car,28742,55.4169
all,DontCare,11295,21.7777
all,Pedestrian,4487,8.6513
all,Van,2914,5.6184
all,Cyclist,1627,3.137
all,Truck,1094,2.1093
all,Misc,973,1.876
all,Tram,511,0.9853
all,Person_sitting,222,0.428
train,Car,23070,55.6333
train,DontCare,8983,21.6625
train,Pedestrian,3558,8.5801
train,Van,2322,5.5995
train,Cyclist,1287,3.1036
train,Truck,886,2.1366
train,Misc,769,1.8544
train,Tram,422,1.0177
train,Person_sitting,171,0.4124
val,Car,5672,54.5542
val,DontCare,2312,22.2372
val,Pedestrian,929,8.9353
val,Van,592,5.694
val,Cyclist,340,3.2702
val,Truck,208,2.0006
val,Misc,204,1.9621
val,Tram,89,0.856
val,Person_sitting,51,0.4905
