global_image_id,canonical_image_key,dataset,partition,experimental_role,source_image_id,source_image_path,source_annotation_path,source_annotation_key,source_calibration_path,source_raw_annotation_path,source_width,source_height,source_extension,output_filename,output_relative_path,target_box_count,vehicle_count,pedestrian_count,cyclist_count,ignored_box_count,is_negative,segment_id,frame_timestamp_micros,camera_name,time_of_day,weather,location,density_group,sampling_rule
1,kitti_000000,KITTI,train,model_training,000000,data/kitti/raw/training/image_2/000000.png,data/kitti/raw/training/label_2/000000.txt,000000,data/kitti/raw/training/calib/000000.txt,data/kitti/raw/training/label_2/000000.txt,1224,370,.png,000000.png,images/kitti/train/000000.png,1,0,1,0,0,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
2,kitti_000001,KITTI,train,model_training,000001,data/kitti/raw/training/image_2/000001.png,data/kitti/raw/training/label_2/000001.txt,000001,data/kitti/raw/training/calib/000001.txt,data/kitti/raw/training/label_2/000001.txt,1242,375,.png,000001.png,images/kitti/train/000001.png,3,2,0,1,4,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
3,kitti_000002,KITTI,train,model_training,000002,data/kitti/raw/training/image_2/000002.png,data/kitti/raw/training/label_2/000002.txt,000002,data/kitti/raw/training/calib/000002.txt,data/kitti/raw/training/label_2/000002.txt,1242,375,.png,000002.png,images/kitti/train/000002.png,1,1,0,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
4,kitti_000003,KITTI,val,in_domain_validation,000003,data/kitti/raw/training/image_2/000003.png,data/kitti/raw/training/label_2/000003.txt,000003,data/kitti/raw/training/calib/000003.txt,data/kitti/raw/training/label_2/000003.txt,1242,375,.png,000003.png,images/kitti/val/000003.png,1,1,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
5,kitti_000004,KITTI,train,model_training,000004,data/kitti/raw/training/image_2/000004.png,data/kitti/raw/training/label_2/000004.txt,000004,data/kitti/raw/training/calib/000004.txt,data/kitti/raw/training/label_2/000004.txt,1242,375,.png,000004.png,images/kitti/train/000004.png,2,2,0,0,5,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
6,kitti_000005,KITTI,val,in_domain_validation,000005,data/kitti/raw/training/image_2/000005.png,data/kitti/raw/training/label_2/000005.txt,000005,data/kitti/raw/training/calib/000005.txt,data/kitti/raw/training/label_2/000005.txt,1242,375,.png,000005.png,images/kitti/val/000005.png,1,0,1,0,4,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
7,kitti_000006,KITTI,train,model_training,000006,data/kitti/raw/training/image_2/000006.png,data/kitti/raw/training/label_2/000006.txt,000006,data/kitti/raw/training/calib/000006.txt,data/kitti/raw/training/label_2/000006.txt,1238,374,.png,000006.png,images/kitti/train/000006.png,4,4,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
8,kitti_000007,KITTI,train,model_training,000007,data/kitti/raw/training/image_2/000007.png,data/kitti/raw/training/label_2/000007.txt,000007,data/kitti/raw/training/calib/000007.txt,data/kitti/raw/training/label_2/000007.txt,1242,375,.png,000007.png,images/kitti/train/000007.png,4,3,0,1,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
9,kitti_000008,KITTI,train,model_training,000008,data/kitti/raw/training/image_2/000008.png,data/kitti/raw/training/label_2/000008.txt,000008,data/kitti/raw/training/calib/000008.txt,data/kitti/raw/training/label_2/000008.txt,1242,375,.png,000008.png,images/kitti/train/000008.png,6,6,0,0,4,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
10,kitti_000009,KITTI,train,model_training,000009,data/kitti/raw/training/image_2/000009.png,data/kitti/raw/training/label_2/000009.txt,000009,data/kitti/raw/training/calib/000009.txt,data/kitti/raw/training/label_2/000009.txt,1242,375,.png,000009.png,images/kitti/train/000009.png,3,3,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
