segment_id,cloud_uri,local_path,status,return_code,error_message
13415985003725220451_6163_000_6183_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/13415985003725220451_6163_000_6183_000.parquet,data\waymo\raw\validation\camera_box\candidates\13415985003725220451_6163_000_6183_000.parquet,downloaded,0,
14931160836268555821_5778_870_5798_870,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/14931160836268555821_5778_870_5798_870.parquet,data\waymo\raw\validation\camera_box\candidates\14931160836268555821_5778_870_5798_870.parquet,downloaded,0,
17136314889476348164_979_560_999_560,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/17136314889476348164_979_560_999_560.parquet,data\waymo\raw\validation\camera_box\candidates\17136314889476348164_979_560_999_560.parquet,downloaded,0,
17763730878219536361_3144_635_3164_635,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/17763730878219536361_3144_635_3164_635.parquet,data\waymo\raw\validation\camera_box\candidates\17763730878219536361_3144_635_3164_635.parquet,downloaded,0,
4409585400955983988_3500_470_3520_470,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/4409585400955983988_3500_470_3520_470.parquet,data\waymo\raw\validation\camera_box\candidates\4409585400955983988_3500_470_3520_470.parquet,downloaded,0,
6491418762940479413_6520_000_6540_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/6491418762940479413_6520_000_6540_000.parquet,data\waymo\raw\validation\camera_box\candidates\6491418762940479413_6520_000_6540_000.parquet,downloaded,0,
8845277173853189216_3828_530_3848_530,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/8845277173853189216_3828_530_3848_530.parquet,data\waymo\raw\validation\camera_box\candidates\8845277173853189216_3828_530_3848_530.parquet,downloaded,0,
967082162553397800_5102_900_5122_900,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/967082162553397800_5102_900_5122_900.parquet,data\waymo\raw\validation\camera_box\candidates\967082162553397800_5102_900_5122_900.parquet,downloaded,0,
10689101165701914459_2072_300_2092_300,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/10689101165701914459_2072_300_2092_300.parquet,data\waymo\raw\validation\camera_box\candidates\10689101165701914459_2072_300_2092_300.parquet,downloaded,0,
12820461091157089924_5202_916_5222_916,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/12820461091157089924_5202_916_5222_916.parquet,data\waymo\raw\validation\camera_box\candidates\12820461091157089924_5202_916_5222_916.parquet,downloaded,0,
14081240615915270380_4399_000_4419_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/14081240615915270380_4399_000_4419_000.parquet,data\waymo\raw\validation\camera_box\candidates\14081240615915270380_4399_000_4419_000.parquet,downloaded,0,
15488266120477489949_3162_920_3182_920,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/15488266120477489949_3162_920_3182_920.parquet,data\waymo\raw\validation\camera_box\candidates\15488266120477489949_3162_920_3182_920.parquet,downloaded,0,
9041488218266405018_6454_030_6474_030,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/9041488218266405018_6454_030_6474_030.parquet,data\waymo\raw\validation\camera_box\candidates\9041488218266405018_6454_030_6474_030.parquet,downloaded,0,
9265793588137545201_2981_960_3001_960,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/9265793588137545201_2981_960_3001_960.parquet,data\waymo\raw\validation\camera_box\candidates\9265793588137545201_2981_960_3001_960.parquet,downloaded,0,
17694030326265859208_2340_000_2360_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/17694030326265859208_2340_000_2360_000.parquet,data\waymo\raw\validation\camera_box\candidates\17694030326265859208_2340_000_2360_000.parquet,downloaded,0,
17791493328130181905_1480_000_1500_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/17791493328130181905_1480_000_1500_000.parquet,data\waymo\raw\validation\camera_box\candidates\17791493328130181905_1480_000_1500_000.parquet,downloaded,0,
5772016415301528777_1400_000_1420_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/5772016415301528777_1400_000_1420_000.parquet,data\waymo\raw\validation\camera_box\candidates\5772016415301528777_1400_000_1420_000.parquet,downloaded,0,
9114112687541091312_1100_000_1120_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/9114112687541091312_1100_000_1120_000.parquet,data\waymo\raw\validation\camera_box\candidates\9114112687541091312_1100_000_1120_000.parquet,downloaded,0,
9579041874842301407_1300_000_1320_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/9579041874842301407_1300_000_1320_000.parquet,data\waymo\raw\validation\camera_box\candidates\9579041874842301407_1300_000_1320_000.parquet,downloaded,0,
1331771191699435763_440_000_460_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/1331771191699435763_440_000_460_000.parquet,data\waymo\raw\validation\camera_box\candidates\1331771191699435763_440_000_460_000.parquet,downloaded,0,
