segment_id,component,cloud_uri,local_path,file_size_bytes,status,return_code,error_message
13415985003725220451_6163_000_6183_000,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/13415985003725220451_6163_000_6183_000.parquet,data\waymo\raw\validation\camera_image\final\13415985003725220451_6163_000_6183_000.parquet,482803937,downloaded,0,
13415985003725220451_6163_000_6183_000,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/13415985003725220451_6163_000_6183_000.parquet,data\waymo\raw\validation\camera_calibration\final\13415985003725220451_6163_000_6183_000.parquet,8952,downloaded,0,
14931160836268555821_5778_870_5798_870,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/14931160836268555821_5778_870_5798_870.parquet,data\waymo\raw\validation\camera_image\final\14931160836268555821_5778_870_5798_870.parquet,259321924,downloaded,0,
14931160836268555821_5778_870_5798_870,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/14931160836268555821_5778_870_5798_870.parquet,data\waymo\raw\validation\camera_calibration\final\14931160836268555821_5778_870_5798_870.parquet,8952,downloaded,0,
4409585400955983988_3500_470_3520_470,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/4409585400955983988_3500_470_3520_470.parquet,data\waymo\raw\validation\camera_image\final\4409585400955983988_3500_470_3520_470.parquet,270128794,downloaded,0,
4409585400955983988_3500_470_3520_470,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/4409585400955983988_3500_470_3520_470.parquet,data\waymo\raw\validation\camera_calibration\final\4409585400955983988_3500_470_3520_470.parquet,8951,downloaded,0,
9041488218266405018_6454_030_6474_030,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/9041488218266405018_6454_030_6474_030.parquet,data\waymo\raw\validation\camera_image\final\9041488218266405018_6454_030_6474_030.parquet,493569423,downloaded,0,
9041488218266405018_6454_030_6474_030,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/9041488218266405018_6454_030_6474_030.parquet,data\waymo\raw\validation\camera_calibration\final\9041488218266405018_6454_030_6474_030.parquet,8946,downloaded,0,
9114112687541091312_1100_000_1120_000,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/9114112687541091312_1100_000_1120_000.parquet,data\waymo\raw\validation\camera_image\final\9114112687541091312_1100_000_1120_000.parquet,426496274,downloaded,0,
9114112687541091312_1100_000_1120_000,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/9114112687541091312_1100_000_1120_000.parquet,data\waymo\raw\validation\camera_calibration\final\9114112687541091312_1100_000_1120_000.parquet,8948,downloaded,0,
12657584952502228282_3940_000_3960_000,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/12657584952502228282_3940_000_3960_000.parquet,data\waymo\raw\validation\camera_image\final\12657584952502228282_3940_000_3960_000.parquet,463042023,downloaded,0,
12657584952502228282_3940_000_3960_000,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/12657584952502228282_3940_000_3960_000.parquet,data\waymo\raw\validation\camera_calibration\final\12657584952502228282_3940_000_3960_000.parquet,8958,downloaded,0,
6324079979569135086_2372_300_2392_300,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/6324079979569135086_2372_300_2392_300.parquet,data\waymo\raw\validation\camera_image\final\6324079979569135086_2372_300_2392_300.parquet,395228637,downloaded,0,
6324079979569135086_2372_300_2392_300,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/6324079979569135086_2372_300_2392_300.parquet,data\waymo\raw\validation\camera_calibration\final\6324079979569135086_2372_300_2392_300.parquet,8946,downloaded,0,
12358364923781697038_2232_990_2252_990,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/12358364923781697038_2232_990_2252_990.parquet,data\waymo\raw\validation\camera_image\final\12358364923781697038_2232_990_2252_990.parquet,337409035,downloaded,0,
12358364923781697038_2232_990_2252_990,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/12358364923781697038_2232_990_2252_990.parquet,data\waymo\raw\validation\camera_calibration\final\12358364923781697038_2232_990_2252_990.parquet,8960,downloaded,0,
16213317953898915772_1597_170_1617_170,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/16213317953898915772_1597_170_1617_170.parquet,data\waymo\raw\validation\camera_image\final\16213317953898915772_1597_170_1617_170.parquet,364196610,downloaded,0,
