final_segment_number,segment_id,time_of_day,weather,location,density_group,selection_reason,candidate_selection_seed,source_camera_box_file,source_frame_count,front_labeled_frame_count,front_target_frame_count,front_target_frame_coverage_percent,vehicle_box_count,vehicle_frame_count,vehicle_frame_coverage_percent,pedestrian_box_count,pedestrian_frame_count,pedestrian_frame_coverage_percent,cyclist_box_count,cyclist_frame_count,cyclist_frame_coverage_percent,ignored_sign_box_count,total_target_box_count,average_target_boxes_per_source_frame,maximum_target_boxes_in_one_frame,small_box_count,medium_box_count,large_box_count,mean_box_area,median_box_area,level_1_box_count,level_2_box_count,unspecified_difficulty_box_count,contains_front_vehicle,contains_front_pedestrian,contains_front_cyclist,selection_score,selection_profile,selection_frozen_before_model_evaluation
1,13415985003725220451_6163_000_6183_000,Dawn/Dusk,rain,location_phx,low,rare_rain|dawn_dusk|location_phx|density_low|small_object_coverage,42,13415985003725220451_6163_000_6183_000.parquet,199,199,199,100.0,2689,199,100.0,0,0,0.0,0,0,0.0,0,2689,13.513,16,310,1434,945,10349.343,1590.738,0,2609,80,True,False,False,1.0896723374348047,preferred,True
2,14931160836268555821_5778_870_5798_870,Dawn/Dusk,sunny,location_phx,low,dawn_dusk|location_phx|density_low|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,14931160836268555821_5778_870_5798_870.parquet,181,181,181,100.0,376,181,100.0,512,151,83.43,387,136,75.14,0,1275,7.044,12,527,450,298,3380.79,1340.324,0,32,1243,True,True,True,8.580670204171623,preferred,True
3,4409585400955983988_3500_470_3520_470,Dawn/Dusk,sunny,location_phx,low,dawn_dusk|location_phx|density_low|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,4409585400955983988_3500_470_3520_470.parquet,199,195,195,97.99,1526,195,97.99,39,20,10.05,59,59,29.65,0,1624,8.161,16,285,423,916,13608.507,3857.42,0,52,1572,True,True,True,8.12435116166629,preferred,True
4,9041488218266405018_6454_030_6474_030,Dawn/Dusk,sunny,location_phx,medium,dawn_dusk|location_phx|density_medium|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,9041488218266405018_6454_030_6474_030.parquet,198,198,198,100.0,1542,198,100.0,319,159,80.3,182,92,46.46,0,2043,10.318,16,915,865,263,2513.16,877.593,0,1671,372,True,True,True,8.531689513331893,preferred,True
5,9114112687541091312_1100_000_1120_000,Dawn/Dusk,sunny,location_sf,high,dawn_dusk|location_sf|density_high|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,9114112687541091312_1100_000_1120_000.parquet,197,197,197,100.0,2615,197,100.0,5462,197,100.0,557,197,100.0,0,8634,43.827,50,4693,2928,1013,1800.005,685.847,0,3993,4641,True,True,True,9.295790924790412,preferred,True
6,12657584952502228282_3940_000_3960_000,Dawn/Dusk,sunny,location_sf,medium,dawn_dusk|location_sf|density_medium|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,12657584952502228282_3940_000_3960_000.parquet,198,198,198,100.0,6086,198,100.0,305,159,80.3,7,7,3.54,0,6398,32.313,43,1157,2388,2853,16151.808,2553.97,0,0,6398,True,True,True,8.260074134550976,preferred,True
7,6324079979569135086_2372_300_2392_300,Day,sunny,location_other,high,day|location_other|density_high|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,6324079979569135086_2372_300_2392_300.parquet,197,197,197,100.0,4823,197,100.0,419,188,95.43,213,85,43.15,0,5455,27.69,38,2048,1692,1715,7820.484,1431.274,0,704,4751,True,True,True,8.890557185238237,preferred,True
8,12358364923781697038_2232_990_2252_990,Day,sunny,location_other,low,day|location_other|density_low|front_cyclist_coverage|small_object_coverage,42,12358364923781697038_2232_990_2252_990.parquet,199,168,168,84.42,372,168,84.42,0,0,0.0,12,12,6.03,0,384,1.93,5,14,38,332,57409.561,23239.661,0,11,373,True,False,True,4.98768537812852,preferred,True
9,16213317953898915772_1597_170_1617_170,Day,sunny,location_phx,high,day|location_phx|density_high|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,16213317953898915772_1597_170_1617_170.parquet,197,197,197,100.0,4899,197,100.0,620,146,74.11,148,148,75.13,0,5667,28.766,41,2334,1545,1788,10620.963,990.88,0,3479,2188,True,True,True,8.864618453359125,preferred,True
10,2736377008667623133_2676_410_2696_410,Day,sunny,location_phx,low,day|location_phx|density_low|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,2736377008667623133_2676_410_2696_410.parquet,197,186,186,94.42,456,151,76.65,292,131,66.5,127,127,64.47,0,875,4.442,8,144,362,369,5728.289,2533.053,0,0,875,True,True,True,8.237246082827102,preferred,True
