segment_id,source_file,number_of_frames,time_of_day,location,weather,average_vehicles_per_frame,maximum_vehicles_in_frame,vehicle_frame_coverage_percent,average_pedestrians_per_frame,maximum_pedestrians_in_frame,pedestrian_frame_coverage_percent,average_cyclists_per_frame,maximum_cyclists_in_frame,cyclist_frame_coverage_percent,average_signs_per_frame,average_target_objects_per_frame,density_group
13415985003725220451_6163_000_6183_000,13415985003725220451_6163_000_6183_000.parquet,199,Dawn/Dusk,location_phx,rain,23.367,29,100.0,0.0,0,0.0,0.0,0,0.0,0.0,23.367,low
10689101165701914459_2072_300_2092_300,10689101165701914459_2072_300_2092_300.parquet,198,Dawn/Dusk,location_phx,sunny,42.96,64,100.0,5.47,8,100.0,1.753,5,62.63,0.0,50.182,medium
12820461091157089924_5202_916_5222_916,12820461091157089924_5202_916_5222_916.parquet,198,Dawn/Dusk,location_phx,sunny,54.838,66,100.0,0.303,3,26.26,0.0,0,0.0,0.0,55.141,medium
14081240615915270380_4399_000_4419_000,14081240615915270380_4399_000_4419_000.parquet,198,Dawn/Dusk,location_phx,sunny,44.157,53,100.0,2.596,4,100.0,0.0,0,0.0,0.0,46.753,medium
14931160836268555821_5778_870_5798_870,14931160836268555821_5778_870_5798_870.parquet,181,Dawn/Dusk,location_phx,sunny,6.028,12,100.0,8.762,15,100.0,2.983,6,91.16,0.0,17.773,low
15488266120477489949_3162_920_3182_920,15488266120477489949_3162_920_3182_920.parquet,198,Dawn/Dusk,location_phx,sunny,15.323,39,100.0,13.652,37,100.0,0.0,0,0.0,0.0,28.975,medium
17136314889476348164_979_560_999_560,17136314889476348164_979_560_999_560.parquet,194,Dawn/Dusk,location_phx,sunny,15.778,21,100.0,2.546,6,100.0,0.0,0,0.0,0.0,18.325,low
17763730878219536361_3144_635_3164_635,17763730878219536361_3144_635_3164_635.parquet,198,Dawn/Dusk,location_phx,sunny,7.581,11,100.0,0.0,0,0.0,0.0,0,0.0,0.0,7.581,low
4409585400955983988_3500_470_3520_470,4409585400955983988_3500_470_3520_470.parquet,199,Dawn/Dusk,location_phx,sunny,12.397,20,100.0,0.849,4,43.22,0.482,2,44.22,0.0,13.729,low
6491418762940479413_6520_000_6540_000,6491418762940479413_6520_000_6540_000.parquet,199,Dawn/Dusk,location_phx,sunny,21.98,33,100.0,0.0,0,0.0,0.0,0,0.0,0.0,21.98,low
8845277173853189216_3828_530_3848_530,8845277173853189216_3828_530_3848_530.parquet,196,Dawn/Dusk,location_phx,sunny,13.673,18,100.0,2.046,4,95.41,0.0,0,0.0,0.0,15.719,low
9041488218266405018_6454_030_6474_030,9041488218266405018_6454_030_6474_030.parquet,198,Dawn/Dusk,location_phx,sunny,18.712,57,100.0,12.874,45,96.97,1.146,4,61.62,0.0,32.732,medium
9265793588137545201_2981_960_3001_960,9265793588137545201_2981_960_3001_960.parquet,198,Dawn/Dusk,location_phx,sunny,13.131,20,100.0,20.929,35,100.0,0.0,0,0.0,0.0,34.061,medium
967082162553397800_5102_900_5122_900,967082162553397800_5102_900_5122_900.parquet,199,Dawn/Dusk,location_phx,sunny,18.729,40,100.0,2.281,7,77.39,0.0,0,0.0,0.0,21.01,low
12657584952502228282_3940_000_3960_000,12657584952502228282_3940_000_3960_000.parquet,198,Dawn/Dusk,location_sf,sunny,50.066,93,100.0,4.636,15,95.96,0.035,1,3.54,0.0,54.737,medium
1331771191699435763_440_000_460_000,1331771191699435763_440_000_460_000.parquet,198,Dawn/Dusk,location_sf,sunny,16.111,23,100.0,0.076,1,7.58,0.0,0,0.0,0.0,16.187,low
14624061243736004421_1840_000_1860_000,14624061243736004421_1840_000_1860_000.parquet,199,Dawn/Dusk,location_sf,sunny,22.884,26,100.0,15.683,20,100.0,0.0,0,0.0,0.0,38.568,medium
17694030326265859208_2340_000_2360_000,17694030326265859208_2340_000_2360_000.parquet,192,Dawn/Dusk,location_sf,sunny,49.922,75,100.0,30.651,47,100.0,0.766,2,60.42,0.0,81.339,high
17791493328130181905_1480_000_1500_000,17791493328130181905_1480_000_1500_000.parquet,196,Dawn/Dusk,location_sf,sunny,15.219,19,100.0,69.74,78,100.0,2.908,5,100.0,0.0,87.867,high
4246537812751004276_1560_000_1580_000,4246537812751004276_1560_000_1580_000.parquet,199,Dawn/Dusk,location_sf,sunny,48.905,53,100.0,0.0,0,0.0,0.0,0,0.0,0.0,48.905,medium
5772016415301528777_1400_000_1420_000,5772016415301528777_1400_000_1420_000.parquet,198,Dawn/Dusk,location_sf,sunny,62.051,125,100.0,6.197,15,100.0,0.0,0,0.0,0.0,68.247,high
9114112687541091312_1100_000_1120_000,9114112687541091312_1100_000_1120_000.parquet,197,Dawn/Dusk,location_sf,sunny,41.173,45,100.0,50.934,57,100.0,3.421,5,100.0,0.0,95.528,high
9579041874842301407_1300_000_1320_000,9579041874842301407_1300_000_1320_000.parquet,199,Dawn/Dusk,location_sf,sunny,53.819,65,100.0,18.523,29,100.0,0.0,0,0.0,0.0,72.342,high
10448102132863604198_472_000_492_000,10448102132863604198_472_000_492_000.parquet,183,Day,location_other,sunny,20.344,25,100.0,0.169,1,16.94,0.0,0,0.0,0.0,20.514,low
11406166561185637285_1753_750_1773_750,11406166561185637285_1753_750_1773_750.parquet,198,Day,location_other,sunny,21.975,31,100.0,1.258,2,99.49,2.722,5,83.33,0.0,25.955,low
12134738431513647889_3118_000_3138_000,12134738431513647889_3118_000_3138_000.parquet,198,Day,location_other,sunny,31.591,39,100.0,0.0,0,0.0,0.0,0,0.0,0.0,31.591,medium
12358364923781697038_2232_990_2252_990,12358364923781697038_2232_990_2252_990.parquet,199,Day,location_other,sunny,13.312,21,100.0,4.055,11,73.37,0.06,1,6.03,0.0,17.427,low
14127943473592757944_2068_000_2088_000,14127943473592757944_2068_000_2088_000.parquet,198,Day,location_other,sunny,42.288,51,100.0,0.0,0,0.0,0.0,0,0.0,0.0,42.288,medium
14687328292438466674_892_000_912_000,14687328292438466674_892_000_912_000.parquet,198,Day,location_other,sunny,9.253,13,100.0,0.0,0,0.0,0.0,0,0.0,0.0,9.253,low
15396462829361334065_4265_000_4285_000,15396462829361334065_4265_000_4285_000.parquet,199,Day,location_other,sunny,52.035,117,100.0,0.96,5,56.78,0.0,0,0.0,0.0,52.995,medium
15948509588157321530_7187_290_7207_290,15948509588157321530_7187_290_7207_290.parquet,199,Day,location_other,sunny,26.618,36,100.0,2.739,8,83.42,0.246,2,17.09,0.0,29.603,medium
1906113358876584689_1359_560_1379_560,1906113358876584689_1359_560_1379_560.parquet,199,Day,location_other,sunny,25.216,35,100.0,1.111,6,36.18,0.814,1,81.41,0.0,27.141,low
2308204418431899833_3575_000_3595_000,2308204418431899833_3575_000_3595_000.parquet,196,Day,location_other,sunny,71.495,97,100.0,0.327,2,28.06,0.0,0,0.0,0.0,71.821,high
2335854536382166371_2709_426_2729_426,2335854536382166371_2709_426_2729_426.parquet,197,Day,location_other,sunny,14.274,22,100.0,0.858,6,27.92,0.452,1,45.18,0.0,15.584,low
3915587593663172342_10_000_30_000,3915587593663172342_10_000_30_000.parquet,199,Day,location_other,sunny,47.804,77,100.0,0.231,1,23.12,0.0,0,0.0,0.0,48.035,medium
5574146396199253121_6759_360_6779_360,5574146396199253121_6759_360_6779_360.parquet,196,Day,location_other,sunny,46.031,54,100.0,7.485,9,100.0,0.413,2,36.22,0.0,53.929,medium
6161542573106757148_585_030_605_030,6161542573106757148_585_030_605_030.parquet,198,Day,location_other,sunny,17.318,32,100.0,3.212,9,88.89,0.0,0,0.0,0.0,20.53,low
6324079979569135086_2372_300_2392_300,6324079979569135086_2372_300_2392_300.parquet,197,Day,location_other,sunny,68.198,92,100.0,4.843,8,100.0,2.614,7,85.79,0.0,75.655,high
7988627150403732100_1487_540_1507_540,7988627150403732100_1487_540_1507_540.parquet,199,Day,location_other,sunny,33.779,38,100.0,47.899,151,100.0,0.0,0,0.0,0.0,81.678,high
8398516118967750070_3958_000_3978_000,8398516118967750070_3958_000_3978_000.parquet,199,Day,location_other,sunny,27.945,37,100.0,0.0,0,0.0,0.0,0,0.0,0.0,27.945,medium
9024872035982010942_2578_810_2598_810,9024872035982010942_2578_810_2598_810.parquet,198,Day,location_other,sunny,30.581,35,100.0,12.652,18,100.0,0.0,0,0.0,0.0,43.232,medium
9472420603764812147_850_000_870_000,9472420603764812147_850_000_870_000.parquet,198,Day,location_other,sunny,36.364,77,100.0,0.212,2,18.69,0.0,0,0.0,0.0,36.576,medium
10203656353524179475_7625_000_7645_000,10203656353524179475_7625_000_7645_000.parquet,198,Day,location_phx,sunny,62.328,78,100.0,9.045,20,100.0,0.0,0,0.0,0.0,71.374,high
1071392229495085036_1844_790_1864_790,1071392229495085036_1844_790_1864_790.parquet,198,Day,location_phx,sunny,19.717,36,100.0,0.0,0,0.0,1.434,4,70.2,0.0,21.152,low
10837554759555844344_6525_000_6545_000,10837554759555844344_6525_000_6545_000.parquet,198,Day,location_phx,sunny,44.525,94,100.0,0.424,3,20.2,0.0,0,0.0,0.0,44.949,medium
11048712972908676520_545_000_565_000,11048712972908676520_545_000_565_000.parquet,199,Day,location_phx,sunny,65.97,101,100.0,5.472,11,89.45,0.0,0,0.0,0.0,71.442,high
1105338229944737854_1280_000_1300_000,1105338229944737854_1280_000_1300_000.parquet,199,Day,location_phx,sunny,137.382,155,100.0,18.0,24,100.0,0.0,0,0.0,0.0,155.382,high
11356601648124485814_409_000_429_000,11356601648124485814_409_000_429_000.parquet,199,Day,location_phx,sunny,126.774,135,100.0,4.035,8,98.99,0.0,0,0.0,0.0,130.809,high
11434627589960744626_4829_660_4849_660,11434627589960744626_4829_660_4849_660.parquet,198,Day,location_phx,sunny,99.197,143,100.0,3.096,9,93.43,0.0,0,0.0,0.0,102.293,high
11450298750351730790_1431_750_1451_750,11450298750351730790_1431_750_1451_750.parquet,198,Day,location_phx,sunny,43.763,59,100.0,3.081,9,100.0,0.0,0,0.0,0.0,46.843,medium
11616035176233595745_3548_820_3568_820,11616035176233595745_3548_820_3568_820.parquet,199,Day,location_phx,sunny,12.643,22,100.0,0.734,2,70.85,0.0,0,0.0,0.0,13.377,low
12102100359426069856_3931_470_3951_470,12102100359426069856_3931_470_3951_470.parquet,198,Day,location_phx,sunny,9.581,16,100.0,1.97,5,68.69,0.0,0,0.0,0.0,11.551,low
12374656037744638388_1412_711_1432_711,12374656037744638388_1412_711_1432_711.parquet,199,Day,location_phx,sunny,33.05,77,100.0,1.829,7,41.21,0.0,0,0.0,0.0,34.879,medium
12831741023324393102_2673_230_2693_230,12831741023324393102_2673_230_2693_230.parquet,198,Day,location_phx,sunny,17.369,33,100.0,3.03,8,73.23,0.0,0,0.0,0.0,20.399,low
13178092897340078601_5118_604_5138_604,13178092897340078601_5118_604_5138_604.parquet,198,Day,location_phx,sunny,116.682,141,100.0,3.116,4,100.0,0.0,0,0.0,0.0,119.798,high
13469905891836363794_4429_660_4449_660,13469905891836363794_4429_660_4449_660.parquet,198,Day,location_phx,sunny,11.722,20,100.0,1.0,2,92.42,0.0,0,0.0,0.0,12.722,low
13573359675885893802_1985_970_2005_970,13573359675885893802_1985_970_2005_970.parquet,199,Day,location_phx,sunny,93.09,121,100.0,2.538,10,87.94,0.0,0,0.0,0.0,95.628,high
13941626351027979229_3363_930_3383_930,13941626351027979229_3363_930_3383_930.parquet,199,Day,location_phx,sunny,127.01,143,100.0,8.633,14,100.0,0.0,0,0.0,0.0,135.643,high
14165166478774180053_1786_000_1806_000,14165166478774180053_1786_000_1806_000.parquet,198,Day,location_phx,sunny,51.131,115,100.0,2.066,7,74.75,0.0,0,0.0,0.0,53.197,medium
14244512075981557183_1226_840_1246_840,14244512075981557183_1226_840_1246_840.parquet,197,Day,location_phx,sunny,108.086,123,100.0,9.259,15,100.0,0.0,0,0.0,0.0,117.345,high
14333744981238305769_5658_260_5678_260,14333744981238305769_5658_260_5678_260.parquet,199,Day,location_phx,sunny,10.181,27,100.0,0.794,3,60.3,0.0,0,0.0,0.0,10.975,low
14486517341017504003_3406_349_3426_349,14486517341017504003_3406_349_3426_349.parquet,199,Day,location_phx,sunny,109.834,161,100.0,1.804,5,64.82,0.0,0,0.0,0.0,111.638,high
1457696187335927618_595_027_615_027,1457696187335927618_595_027_615_027.parquet,199,Day,location_phx,sunny,64.804,104,100.0,2.513,9,84.92,0.513,2,49.75,0.0,67.829,high
14663356589561275673_935_195_955_195,14663356589561275673_935_195_955_195.parquet,198,Day,location_phx,sunny,11.838,21,100.0,1.556,6,63.13,0.0,0,0.0,0.0,13.394,low
14811410906788672189_373_113_393_113,14811410906788672189_373_113_393_113.parquet,197,Day,location_phx,sunny,23.305,66,100.0,3.137,7,61.93,0.0,0,0.0,0.0,26.442,low
14956919859981065721_1759_980_1779_980,14956919859981065721_1759_980_1779_980.parquet,199,Day,location_phx,sunny,123.487,142,100.0,4.04,6,100.0,0.658,2,44.22,0.0,128.186,high
15021599536622641101_556_150_576_150,15021599536622641101_556_150_576_150.parquet,199,Day,location_phx,sunny,49.573,57,100.0,2.422,5,94.97,0.0,0,0.0,0.0,51.995,medium
1505698981571943321_1186_773_1206_773,1505698981571943321_1186_773_1206_773.parquet,198,Day,location_phx,sunny,32.364,49,100.0,0.071,1,7.07,0.0,0,0.0,0.0,32.434,medium
15096340672898807711_3765_000_3785_000,15096340672898807711_3765_000_3785_000.parquet,199,Day,location_phx,sunny,47.799,61,100.0,5.678,13,100.0,0.0,0,0.0,0.0,53.477,medium
15496233046893489569_4551_550_4571_550,15496233046893489569_4551_550_4571_550.parquet,198,Day,location_phx,sunny,8.51,17,100.0,0.732,2,44.95,0.343,2,18.69,0.0,9.586,low
15724298772299989727_5386_410_5406_410,15724298772299989727_5386_410_5406_410.parquet,197,Day,location_phx,sunny,5.563,10,75.13,1.695,6,76.14,0.548,2,53.81,0.0,7.807,low
15959580576639476066_5087_580_5107_580,15959580576639476066_5087_580_5107_580.parquet,199,Day,location_phx,sunny,9.432,13,100.0,2.734,7,94.47,0.0,0,0.0,0.0,12.166,low
16213317953898915772_1597_170_1617_170,16213317953898915772_1597_170_1617_170.parquet,197,Day,location_phx,sunny,69.036,87,100.0,11.396,17,100.0,0.751,1,75.13,0.0,81.183,high
16751706457322889693_4475_240_4495_240,16751706457322889693_4475_240_4495_240.parquet,198,Day,location_phx,sunny,19.879,31,100.0,1.677,3,92.42,0.0,0,0.0,0.0,21.556,low
16767575238225610271_5185_000_5205_000,16767575238225610271_5185_000_5205_000.parquet,199,Day,location_phx,sunny,49.739,99,100.0,1.849,6,62.81,0.0,0,0.0,0.0,51.588,medium
