image_id,vehicle_count,pedestrian_count,cyclist_count,target_count,ignored_count,original_annotation_count,contains_vehicle,contains_pedestrian,contains_cyclist,presence_signature,density_group,stratification_group,split
000000,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000001,2,0,1,3,4,7,True,False,True,V1_P0_C1,low,V1_P0_C1__low,train
000002,1,0,0,1,1,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000003,1,0,0,1,2,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000004,2,0,0,2,5,7,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000005,0,1,0,1,4,5,False,True,False,V0_P1_C0,low,V0_P1_C0__low,val
000006,4,0,0,4,2,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000007,3,0,1,4,2,6,True,False,True,V1_P0_C1,medium,V1_P0_C1__medium,train
000008,6,0,0,6,4,10,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000009,3,0,0,3,2,5,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000010,8,1,0,9,4,13,True,True,False,V1_P1_C0,high,V1_P1_C0__high,val
000011,2,4,0,6,3,9,True,True,False,V1_P1_C0,medium,V1_P1_C0__medium,train
000012,2,0,0,2,3,5,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000013,1,0,0,1,1,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000014,1,0,0,1,2,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000015,1,4,0,5,5,10,True,True,False,V1_P1_C0,medium,V1_P1_C0__medium,train
000016,5,0,0,5,17,22,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000017,1,0,0,1,1,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000018,2,0,0,2,18,20,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000019,4,0,0,4,2,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000020,1,0,0,1,0,1,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000021,7,0,1,8,2,10,True,False,True,V1_P0_C1,high,V1_P0_C1__high,train
000022,2,0,0,2,1,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000023,2,0,1,3,3,6,True,False,True,V1_P0_C1,low,V1_P0_C1__low,train
000024,3,0,0,3,4,7,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000025,5,0,1,6,3,9,True,False,True,V1_P0_C1,medium,V1_P0_C1__medium,val
000026,2,0,0,2,0,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000027,2,0,0,2,1,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
