partition,mapped_class,occlusion_group,count
all,Cyclist,fully_visible,1010
all,Cyclist,largely_occluded,80
all,Cyclist,partly_occluded,255
all,Cyclist,unknown,282
all,Pedestrian,fully_visible,2716
all,Pedestrian,largely_occluded,744
all,Pedestrian,partly_occluded,1171
all,Pedestrian,unknown,78
all,Vehicle,fully_visible,14761
all,Vehicle,largely_occluded,6980
all,Vehicle,partly_occluded,9330
all,Vehicle,unknown,1679
train,Cyclist,fully_visible,816
train,Cyclist,largely_occluded,58
train,Cyclist,partly_occluded,193
train,Cyclist,unknown,220
train,Pedestrian,fully_visible,2170
train,Pedestrian,largely_occluded,596
train,Pedestrian,partly_occluded,903
train,Pedestrian,unknown,60
train,Vehicle,fully_visible,11807
train,Vehicle,largely_occluded,5613
train,Vehicle,partly_occluded,7509
train,Vehicle,unknown,1349
val,Cyclist,fully_visible,194
val,Cyclist,largely_occluded,22
val,Cyclist,partly_occluded,62
val,Cyclist,unknown,62
val,Pedestrian,fully_visible,546
val,Pedestrian,largely_occluded,148
val,Pedestrian,partly_occluded,268
val,Pedestrian,unknown,18
val,Vehicle,fully_visible,2954
val,Vehicle,largely_occluded,1367
val,Vehicle,partly_occluded,1821
val,Vehicle,unknown,330
