partition,mapped_class,truncation_group,count
all,Cyclist,high_0.30_to_0.50,18
all,Cyclist,low_0_to_0.15,24
all,Cyclist,moderate_0.15_to_0.30,24
all,Cyclist,none,1493
all,Cyclist,very_high_above_0.50,68
all,Pedestrian,high_0.30_to_0.50,74
all,Pedestrian,low_0_to_0.15,156
all,Pedestrian,moderate_0.15_to_0.30,91
all,Pedestrian,none,4281
all,Pedestrian,very_high_above_0.50,107
all,Vehicle,high_0.30_to_0.50,673
all,Vehicle,low_0_to_0.15,687
all,Vehicle,moderate_0.15_to_0.30,541
all,Vehicle,none,28121
all,Vehicle,very_high_above_0.50,2728
train,Cyclist,high_0.30_to_0.50,16
train,Cyclist,low_0_to_0.15,18
train,Cyclist,moderate_0.15_to_0.30,20
train,Cyclist,none,1174
train,Cyclist,very_high_above_0.50,59
train,Pedestrian,high_0.30_to_0.50,58
train,Pedestrian,low_0_to_0.15,118
train,Pedestrian,moderate_0.15_to_0.30,76
train,Pedestrian,none,3390
train,Pedestrian,very_high_above_0.50,87
train,Vehicle,high_0.30_to_0.50,547
train,Vehicle,low_0_to_0.15,541
train,Vehicle,moderate_0.15_to_0.30,429
train,Vehicle,none,22608
train,Vehicle,very_high_above_0.50,2153
val,Cyclist,high_0.30_to_0.50,2
val,Cyclist,low_0_to_0.15,6
val,Cyclist,moderate_0.15_to_0.30,4
val,Cyclist,none,319
val,Cyclist,very_high_above_0.50,9
val,Pedestrian,high_0.30_to_0.50,16
val,Pedestrian,low_0_to_0.15,38
val,Pedestrian,moderate_0.15_to_0.30,15
val,Pedestrian,none,891
val,Pedestrian,very_high_above_0.50,20
val,Vehicle,high_0.30_to_0.50,126
val,Vehicle,low_0_to_0.15,146
val,Vehicle,moderate_0.15_to_0.30,112
val,Vehicle,none,5513
val,Vehicle,very_high_above_0.50,575
