partition,global_image_id,image_filename,coco_annotation_count,yolo_row_count,matched_box_count,class_count_mismatch,maximum_normalized_error,maximum_pixel_error,minimum_iou,image_passed
kitti_train,1,000000.png,1,1,1,False,4.906253181502507e-11,3.789995162151172e-08,0.999999998618137,True
kitti_train,2,000001.png,3,3,3,False,3.335937082127316e-11,3.200000264769187e-08,0.9999999925143015,True
kitti_train,3,000002.png,1,1,1,False,4.656249691370462e-11,2.9799998912949377e-08,0.9999999974006991,True
kitti_train,5,000004.png,2,2,2,False,4.773437201066599e-11,3.200000264769187e-08,0.9999999930900898,True
kitti_train,7,000006.png,4,4,4,False,4.921875060293068e-11,3.799993919528788e-08,0.9999999945340827,True
kitti_train,8,000007.png,4,4,4,False,4.5468753762101244e-11,3.819997118625906e-08,0.9999999940663495,True
kitti_train,9,000008.png,6,6,6,False,4.8593754020664903e-11,3.11000007968687e-08,0.9999999957362371,True
kitti_train,10,000009.png,3,3,3,False,3.335937082127316e-11,3.200000264769187e-08,0.9999999932460247,True
kitti_train,12,000011.png,6,6,6,False,3.8593753193261193e-11,3.200000264769187e-08,0.9999999925676266,True
kitti_train,13,000012.png,2,2,2,False,4.3593750137516096e-11,3.200000264769187e-08,0.999999993741331,True
kitti_train,14,000013.png,1,1,1,False,4.22656354359674e-11,2.5399998548891745e-08,0.9999999972300234,True
kitti_train,15,000014.png,1,1,1,False,3.335937082127316e-11,3.200000264769187e-08,0.9999999948317249,True
kitti_train,16,000015.png,5,5,5,False,4.921874019458983e-11,4.190002300674678e-08,0.9999999929172614,True
kitti_train,17,000016.png,5,5,5,False,4.8515580441943484e-11,3.780002089115442e-08,0.9999999928186765,True
kitti_train,18,000017.png,1,1,1,False,3.453124591823453e-11,3.199994580427301e-08,0.999999995969642,True
kitti_train,19,000018.png,2,2,2,False,4.968750064171523e-11,3.180000085478696e-08,0.9999999923026603,True
kitti_train,20,000019.png,4,4,4,False,4.750000393016762e-11,3.200000264769187e-08,0.9999999969843106,True
kitti_train,22,000021.png,8,8,8,False,4.9375031840881434e-11,3.200005949111073e-08,0.9999999967830968,True
kitti_train,23,000022.png,2,2,2,False,4.9453136030663813e-11,3.909999790607799e-08,0.999999996696806,True
kitti_train,24,000023.png,3,3,3,False,4.187499652585913e-11,2.7299989824314252e-08,0.9999999961217597,True
kitti_train,27,000026.png,2,2,2,False,4.5312531504748677e-11,2.1300003538726742e-08,0.9999999933036762,True
kitti_train,28,000027.png,2,2,2,False,4.265623965160614e-11,2.7299989824314252e-08,0.9999999912610099,True
kitti_train,29,000028.png,1,1,1,False,2.218750183580198e-11,1.899999801935337e-08,0.9999999989133806,True
kitti_train,30,000029.png,1,1,1,False,4.234375003409063e-11,2.7100000465907215e-08,0.999999995854231,True
kitti_train,31,000030.png,1,1,1,False,4.109374646121822e-11,2.629999862335808e-08,0.9999999950728684,True
