global_image_id,canonical_image_key,dataset,partition,experimental_role,source_image_id,source_image_path,output_filename,output_relative_path,output_absolute_path,source_width,source_height,target_width,target_height,nominal_scale,actual_scale_x,actual_scale_y,resized_width,resized_height,padding_left,padding_top,padding_right,padding_bottom,padding_value,interpolation,source_extension,output_extension,png_compression_level,target_box_count,vehicle_count,pedestrian_count,cyclist_count,ignored_box_count,is_negative,output_size_bytes,dimensions_valid,padding_valid,geometry_valid,aspect_ratio_error,aspect_ratio_valid,processing_status
1,kitti_000000,KITTI,train,model_training,000000,data/kitti/raw/training/image_2/000000.png,000000.png,images/kitti/train/000000.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000000.png,1224,370,640,640,0.5228758169934641,0.5228758169934641,0.5216216216216216,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,0,1,0,0,False,268576,True,True,True,0.00795406805769483,True,created
2,kitti_000001,KITTI,train,model_training,000001,data/kitti/raw/training/image_2/000001.png,000001.png,images/kitti/train/000001.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000001.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,3,2,0,1,4,False,219590,True,True,True,0.004062176165803066,True,created
3,kitti_000002,KITTI,train,model_training,000002,data/kitti/raw/training/image_2/000002.png,000002.png,images/kitti/train/000002.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000002.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,1,0,0,1,False,220024,True,True,True,0.004062176165803066,True,created
4,kitti_000003,KITTI,val,in_domain_validation,000003,data/kitti/raw/training/image_2/000003.png,000003.png,images/kitti/val/000003.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/val/000003.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,1,0,0,2,False,235315,True,True,True,0.004062176165803066,True,created
5,kitti_000004,KITTI,train,model_training,000004,data/kitti/raw/training/image_2/000004.png,000004.png,images/kitti/train/000004.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000004.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,2,2,0,0,5,False,245253,True,True,True,0.004062176165803066,True,created
6,kitti_000005,KITTI,val,in_domain_validation,000005,data/kitti/raw/training/image_2/000005.png,000005.png,images/kitti/val/000005.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/val/000005.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,0,1,0,4,False,236935,True,True,True,0.004062176165803066,True,created
7,kitti_000006,KITTI,train,model_training,000006,data/kitti/raw/training/image_2/000006.png,000006.png,images/kitti/train/000006.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000006.png,1238,374,640,640,0.5169628432956381,0.5169628432956381,0.516042780748663,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,4,4,0,0,2,False,224584,True,True,True,0.005901748358316361,True,created
8,kitti_000007,KITTI,train,model_training,000007,data/kitti/raw/training/image_2/000007.png,000007.png,images/kitti/train/000007.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000007.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,4,3,0,1,2,False,241601,True,True,True,0.004062176165803066,True,created
9,kitti_000008,KITTI,train,model_training,000008,data/kitti/raw/training/image_2/000008.png,000008.png,images/kitti/train/000008.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000008.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,6,6,0,0,4,False,263351,True,True,True,0.004062176165803066,True,created
10,kitti_000009,KITTI,train,model_training,000009,data/kitti/raw/training/image_2/000009.png,000009.png,images/kitti/train/000009.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000009.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,3,3,0,0,2,False,225408,True,True,True,0.004062176165803066,True,created
11,kitti_000010,KITTI,val,in_domain_validation,000010,data/kitti/raw/training/image_2/000010.png,000010.png,images/kitti/val/000010.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/val/000010.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,9,8,1,0,4,False,247211,True,True,True,0.004062176165803066,True,created
12,kitti_000011,KITTI,train,model_training,000011,data/kitti/raw/training/image_2/000011.png,000011.png,images/kitti/train/000011.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000011.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,6,2,4,0,3,False,252274,True,True,True,0.004062176165803066,True,created
13,kitti_000012,KITTI,train,model_training,000012,data/kitti/raw/training/image_2/000012.png,000012.png,images/kitti/train/000012.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000012.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,2,2,0,0,3,False,249195,True,True,True,0.004062176165803066,True,created
14,kitti_000013,KITTI,train,model_training,000013,data/kitti/raw/training/image_2/000013.png,000013.png,images/kitti/train/000013.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000013.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,1,0,0,1,False,288121,True,True,True,0.004062176165803066,True,created
15,kitti_000014,KITTI,train,model_training,000014,data/kitti/raw/training/image_2/000014.png,000014.png,images/kitti/train/000014.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000014.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,1,0,0,2,False,276276,True,True,True,0.004062176165803066,True,created
16,kitti_000015,KITTI,train,model_training,000015,data/kitti/raw/training/image_2/000015.png,000015.png,images/kitti/train/000015.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000015.png,1238,374,640,640,0.5169628432956381,0.5169628432956381,0.516042780748663,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,5,1,4,0,5,False,252801,True,True,True,0.005901748358316361,True,created
17,kitti_000016,KITTI,train,model_training,000016,data/kitti/raw/training/image_2/000016.png,000016.png,images/kitti/train/000016.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000016.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,5,5,0,0,17,False,235151,True,True,True,0.004062176165803066,True,created
18,kitti_000017,KITTI,train,model_training,000017,data/kitti/raw/training/image_2/000017.png,000017.png,images/kitti/train/000017.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000017.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,1,0,0,1,False,250858,True,True,True,0.004062176165803066,True,created
19,kitti_000018,KITTI,train,model_training,000018,data/kitti/raw/training/image_2/000018.png,000018.png,images/kitti/train/000018.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000018.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,2,2,0,0,18,False,214729,True,True,True,0.004062176165803066,True,created
20,kitti_000019,KITTI,train,model_training,000019,data/kitti/raw/training/image_2/000019.png,000019.png,images/kitti/train/000019.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000019.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,4,4,0,0,2,False,245996,True,True,True,0.004062176165803066,True,created
21,kitti_000020,KITTI,val,in_domain_validation,000020,data/kitti/raw/training/image_2/000020.png,000020.png,images/kitti/val/000020.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/val/000020.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,1,0,0,0,False,261906,True,True,True,0.004062176165803066,True,created
22,kitti_000021,KITTI,train,model_training,000021,data/kitti/raw/training/image_2/000021.png,000021.png,images/kitti/train/000021.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000021.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,8,7,0,1,2,False,246386,True,True,True,0.004062176165803066,True,created
23,kitti_000022,KITTI,train,model_training,000022,data/kitti/raw/training/image_2/000022.png,000022.png,images/kitti/train/000022.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000022.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,2,2,0,0,1,False,276914,True,True,True,0.004062176165803066,True,created
