image_id,final_segment_number,segment_id,frame_timestamp_micros,camera_id,camera_name,source_front_frame_index,selected_frame_number_in_segment,image_filename,relative_image_path,image_width,image_height,number_of_target_boxes,vehicle_count,pedestrian_count,cyclist_count,time_of_day,weather,location,density_group,sampling_rule
13415985003725220451_6163_000_6183_000_1518657647337560,1,13415985003725220451_6163_000_6183_000,1518657647337560,1,FRONT,0,1,1518657647337560.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657647337560.jpg,1920,1280,13,13,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657647837292,1,13415985003725220451_6163_000_6183_000,1518657647837292,1,FRONT,5,2,1518657647837292.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657647837292.jpg,1920,1280,12,12,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657648337202,1,13415985003725220451_6163_000_6183_000,1518657648337202,1,FRONT,10,3,1518657648337202.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657648337202.jpg,1920,1280,12,12,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657648837280,1,13415985003725220451_6163_000_6183_000,1518657648837280,1,FRONT,15,4,1518657648837280.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657648837280.jpg,1920,1280,12,12,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657649337352,1,13415985003725220451_6163_000_6183_000,1518657649337352,1,FRONT,20,5,1518657649337352.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657649337352.jpg,1920,1280,12,12,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657649837527,1,13415985003725220451_6163_000_6183_000,1518657649837527,1,FRONT,25,6,1518657649837527.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657649837527.jpg,1920,1280,12,12,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657650337764,1,13415985003725220451_6163_000_6183_000,1518657650337764,1,FRONT,30,7,1518657650337764.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657650337764.jpg,1920,1280,12,12,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657650837749,1,13415985003725220451_6163_000_6183_000,1518657650837749,1,FRONT,35,8,1518657650837749.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657650837749.jpg,1920,1280,12,12,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657651337526,1,13415985003725220451_6163_000_6183_000,1518657651337526,1,FRONT,40,9,1518657651337526.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657651337526.jpg,1920,1280,11,11,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657651837380,1,13415985003725220451_6163_000_6183_000,1518657651837380,1,FRONT,45,10,1518657651837380.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657651837380.jpg,1920,1280,11,11,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657652337359,1,13415985003725220451_6163_000_6183_000,1518657652337359,1,FRONT,50,11,1518657652337359.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657652337359.jpg,1920,1280,11,11,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657652837394,1,13415985003725220451_6163_000_6183_000,1518657652837394,1,FRONT,55,12,1518657652837394.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657652837394.jpg,1920,1280,11,11,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657653337626,1,13415985003725220451_6163_000_6183_000,1518657653337626,1,FRONT,60,13,1518657653337626.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657653337626.jpg,1920,1280,11,11,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657653837690,1,13415985003725220451_6163_000_6183_000,1518657653837690,1,FRONT,65,14,1518657653837690.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657653837690.jpg,1920,1280,11,11,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657654337635,1,13415985003725220451_6163_000_6183_000,1518657654337635,1,FRONT,70,15,1518657654337635.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657654337635.jpg,1920,1280,12,12,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657654837454,1,13415985003725220451_6163_000_6183_000,1518657654837454,1,FRONT,75,16,1518657654837454.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657654837454.jpg,1920,1280,13,13,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657655337378,1,13415985003725220451_6163_000_6183_000,1518657655337378,1,FRONT,80,17,1518657655337378.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657655337378.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657655837406,1,13415985003725220451_6163_000_6183_000,1518657655837406,1,FRONT,85,18,1518657655837406.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657655837406.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657656337474,1,13415985003725220451_6163_000_6183_000,1518657656337474,1,FRONT,90,19,1518657656337474.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657656337474.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657656837658,1,13415985003725220451_6163_000_6183_000,1518657656837658,1,FRONT,95,20,1518657656837658.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657656837658.jpg,1920,1280,14,14,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657657337676,1,13415985003725220451_6163_000_6183_000,1518657657337676,1,FRONT,100,21,1518657657337676.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657657337676.jpg,1920,1280,14,14,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657657837755,1,13415985003725220451_6163_000_6183_000,1518657657837755,1,FRONT,105,22,1518657657837755.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657657837755.jpg,1920,1280,14,14,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657658337602,1,13415985003725220451_6163_000_6183_000,1518657658337602,1,FRONT,110,23,1518657658337602.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657658337602.jpg,1920,1280,14,14,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657658837397,1,13415985003725220451_6163_000_6183_000,1518657658837397,1,FRONT,115,24,1518657658837397.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657658837397.jpg,1920,1280,14,14,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657659337168,1,13415985003725220451_6163_000_6183_000,1518657659337168,1,FRONT,120,25,1518657659337168.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657659337168.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657659837024,1,13415985003725220451_6163_000_6183_000,1518657659837024,1,FRONT,125,26,1518657659837024.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657659837024.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657660337028,1,13415985003725220451_6163_000_6183_000,1518657660337028,1,FRONT,130,27,1518657660337028.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657660337028.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657660837068,1,13415985003725220451_6163_000_6183_000,1518657660837068,1,FRONT,135,28,1518657660837068.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657660837068.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657661337076,1,13415985003725220451_6163_000_6183_000,1518657661337076,1,FRONT,140,29,1518657661337076.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657661337076.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657661837226,1,13415985003725220451_6163_000_6183_000,1518657661837226,1,FRONT,145,30,1518657661837226.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657661837226.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657662337306,1,13415985003725220451_6163_000_6183_000,1518657662337306,1,FRONT,150,31,1518657662337306.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657662337306.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657662837347,1,13415985003725220451_6163_000_6183_000,1518657662837347,1,FRONT,155,32,1518657662837347.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657662837347.jpg,1920,1280,14,14,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657663337393,1,13415985003725220451_6163_000_6183_000,1518657663337393,1,FRONT,160,33,1518657663337393.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657663337393.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657663837392,1,13415985003725220451_6163_000_6183_000,1518657663837392,1,FRONT,165,34,1518657663837392.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657663837392.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
