segment_id,time_of_day,weather,location,density_group,selection_reason,candidate_selection_seed,source_camera_box_file,source_frame_count,front_labeled_frame_count,front_target_frame_count,front_target_frame_coverage_percent,vehicle_box_count,vehicle_frame_count,vehicle_frame_coverage_percent,pedestrian_box_count,pedestrian_frame_count,pedestrian_frame_coverage_percent,cyclist_box_count,cyclist_frame_count,cyclist_frame_coverage_percent,ignored_sign_box_count,total_target_box_count,average_target_boxes_per_source_frame,maximum_target_boxes_in_one_frame,small_box_count,medium_box_count,large_box_count,mean_box_area,median_box_area,level_1_box_count,level_2_box_count,unspecified_difficulty_box_count,contains_front_vehicle,contains_front_pedestrian,contains_front_cyclist
13415985003725220451_6163_000_6183_000,Dawn/Dusk,rain,location_phx,low,dawn_dusk_condition|rare_rain_weather,42,13415985003725220451_6163_000_6183_000.parquet,199,199,199,100.0,2689,199,100.0,0,0,0.0,0,0,0.0,0,2689,13.513,16,310,1434,945,10349.343,1590.738,0,2609,80,True,False,False
14931160836268555821_5778_870_5798_870,Dawn/Dusk,sunny,location_phx,low,dawn_dusk_condition,42,14931160836268555821_5778_870_5798_870.parquet,181,181,181,100.0,376,181,100.0,512,151,83.43,387,136,75.14,0,1275,7.044,12,527,450,298,3380.79,1340.324,0,32,1243,True,True,True
17136314889476348164_979_560_999_560,Dawn/Dusk,sunny,location_phx,low,dawn_dusk_condition,42,17136314889476348164_979_560_999_560.parquet,194,194,194,100.0,1034,194,100.0,301,170,87.63,0,0,0.0,0,1335,6.881,16,111,332,892,14362.073,7276.044,0,109,1226,True,True,False
17763730878219536361_3144_635_3164_635,Dawn/Dusk,sunny,location_phx,low,dawn_dusk_condition,42,17763730878219536361_3144_635_3164_635.parquet,198,198,198,100.0,1079,198,100.0,0,0,0.0,0,0,0.0,0,1079,5.449,8,507,406,166,3531.357,1193.725,0,316,763,True,False,False
4409585400955983988_3500_470_3520_470,Dawn/Dusk,sunny,location_phx,low,dawn_dusk_condition,42,4409585400955983988_3500_470_3520_470.parquet,199,195,195,97.99,1526,195,97.99,39,20,10.05,59,59,29.65,0,1624,8.161,16,285,423,916,13608.507,3857.42,0,52,1572,True,True,True
6491418762940479413_6520_000_6540_000,Dawn/Dusk,sunny,location_phx,low,dawn_dusk_condition,42,6491418762940479413_6520_000_6540_000.parquet,199,194,194,97.49,2531,194,97.49,0,0,0.0,0,0,0.0,0,2531,12.719,18,711,1190,630,5347.061,1544.165,0,2519,12,True,False,False
8845277173853189216_3828_530_3848_530,Dawn/Dusk,sunny,location_phx,low,dawn_dusk_condition,42,8845277173853189216_3828_530_3848_530.parquet,196,196,196,100.0,799,196,100.0,213,109,55.61,0,0,0.0,0,1012,5.163,10,109,166,737,26551.587,11633.497,0,0,1012,True,True,False
967082162553397800_5102_900_5122_900,Dawn/Dusk,sunny,location_phx,low,dawn_dusk_condition,42,967082162553397800_5102_900_5122_900.parquet,199,199,199,100.0,2295,199,100.0,271,91,45.73,0,0,0.0,0,2566,12.894,18,1417,818,331,2190.106,650.598,0,914,1652,True,True,False
10689101165701914459_2072_300_2092_300,Dawn/Dusk,sunny,location_phx,medium,dawn_dusk_condition,42,10689101165701914459_2072_300_2092_300.parquet,198,123,123,62.12,370,74,37.37,341,100,50.51,0,0,0.0,0,711,3.591,15,229,326,156,3442.043,1132.893,0,0,711,True,True,False
12820461091157089924_5202_916_5222_916,Dawn/Dusk,sunny,location_phx,medium,dawn_dusk_condition,42,12820461091157089924_5202_916_5222_916.parquet,198,198,198,100.0,3462,198,100.0,0,0,0.0,0,0,0.0,0,3462,17.485,29,1408,861,1193,5669.655,1342.119,0,2450,1012,True,False,False
