segment_id,source_file,number_of_frames,time_of_day,location,weather,average_vehicles_per_frame,maximum_vehicles_in_frame,vehicle_frame_coverage_percent,average_pedestrians_per_frame,maximum_pedestrians_in_frame,pedestrian_frame_coverage_percent,average_cyclists_per_frame,maximum_cyclists_in_frame,cyclist_frame_coverage_percent,average_signs_per_frame,average_target_objects_per_frame,density_group,selection_reason,candidate_selection_seed
13415985003725220451_6163_000_6183_000,13415985003725220451_6163_000_6183_000.parquet,199,Dawn/Dusk,location_phx,rain,23.367,29,100.0,0.0,0,0.0,0.0,0,0.0,0.0,23.367,low,dawn_dusk_condition|rare_rain_weather,42
14931160836268555821_5778_870_5798_870,14931160836268555821_5778_870_5798_870.parquet,181,Dawn/Dusk,location_phx,sunny,6.028,12,100.0,8.762,15,100.0,2.983,6,91.16,0.0,17.773,low,dawn_dusk_condition,42
17136314889476348164_979_560_999_560,17136314889476348164_979_560_999_560.parquet,194,Dawn/Dusk,location_phx,sunny,15.778,21,100.0,2.546,6,100.0,0.0,0,0.0,0.0,18.325,low,dawn_dusk_condition,42
17763730878219536361_3144_635_3164_635,17763730878219536361_3144_635_3164_635.parquet,198,Dawn/Dusk,location_phx,sunny,7.581,11,100.0,0.0,0,0.0,0.0,0,0.0,0.0,7.581,low,dawn_dusk_condition,42
4409585400955983988_3500_470_3520_470,4409585400955983988_3500_470_3520_470.parquet,199,Dawn/Dusk,location_phx,sunny,12.397,20,100.0,0.849,4,43.22,0.482,2,44.22,0.0,13.729,low,dawn_dusk_condition,42
6491418762940479413_6520_000_6540_000,6491418762940479413_6520_000_6540_000.parquet,199,Dawn/Dusk,location_phx,sunny,21.98,33,100.0,0.0,0,0.0,0.0,0,0.0,0.0,21.98,low,dawn_dusk_condition,42
8845277173853189216_3828_530_3848_530,8845277173853189216_3828_530_3848_530.parquet,196,Dawn/Dusk,location_phx,sunny,13.673,18,100.0,2.046,4,95.41,0.0,0,0.0,0.0,15.719,low,dawn_dusk_condition,42
967082162553397800_5102_900_5122_900,967082162553397800_5102_900_5122_900.parquet,199,Dawn/Dusk,location_phx,sunny,18.729,40,100.0,2.281,7,77.39,0.0,0,0.0,0.0,21.01,low,dawn_dusk_condition,42
10689101165701914459_2072_300_2092_300,10689101165701914459_2072_300_2092_300.parquet,198,Dawn/Dusk,location_phx,sunny,42.96,64,100.0,5.47,8,100.0,1.753,5,62.63,0.0,50.182,medium,dawn_dusk_condition,42
12820461091157089924_5202_916_5222_916,12820461091157089924_5202_916_5222_916.parquet,198,Dawn/Dusk,location_phx,sunny,54.838,66,100.0,0.303,3,26.26,0.0,0,0.0,0.0,55.141,medium,dawn_dusk_condition,42
14081240615915270380_4399_000_4419_000,14081240615915270380_4399_000_4419_000.parquet,198,Dawn/Dusk,location_phx,sunny,44.157,53,100.0,2.596,4,100.0,0.0,0,0.0,0.0,46.753,medium,dawn_dusk_condition,42
15488266120477489949_3162_920_3182_920,15488266120477489949_3162_920_3182_920.parquet,198,Dawn/Dusk,location_phx,sunny,15.323,39,100.0,13.652,37,100.0,0.0,0,0.0,0.0,28.975,medium,dawn_dusk_condition,42
9041488218266405018_6454_030_6474_030,9041488218266405018_6454_030_6474_030.parquet,198,Dawn/Dusk,location_phx,sunny,18.712,57,100.0,12.874,45,96.97,1.146,4,61.62,0.0,32.732,medium,dawn_dusk_condition,42
9265793588137545201_2981_960_3001_960,9265793588137545201_2981_960_3001_960.parquet,198,Dawn/Dusk,location_phx,sunny,13.131,20,100.0,20.929,35,100.0,0.0,0,0.0,0.0,34.061,medium,dawn_dusk_condition,42
17694030326265859208_2340_000_2360_000,17694030326265859208_2340_000_2360_000.parquet,192,Dawn/Dusk,location_sf,sunny,49.922,75,100.0,30.651,47,100.0,0.766,2,60.42,0.0,81.339,high,dawn_dusk_condition,42
17791493328130181905_1480_000_1500_000,17791493328130181905_1480_000_1500_000.parquet,196,Dawn/Dusk,location_sf,sunny,15.219,19,100.0,69.74,78,100.0,2.908,5,100.0,0.0,87.867,high,cyclist_rich|dawn_dusk_condition|pedestrian_rich,42
5772016415301528777_1400_000_1420_000,5772016415301528777_1400_000_1420_000.parquet,198,Dawn/Dusk,location_sf,sunny,62.051,125,100.0,6.197,15,100.0,0.0,0,0.0,0.0,68.247,high,dawn_dusk_condition,42
9114112687541091312_1100_000_1120_000,9114112687541091312_1100_000_1120_000.parquet,197,Dawn/Dusk,location_sf,sunny,41.173,45,100.0,50.934,57,100.0,3.421,5,100.0,0.0,95.528,high,cyclist_rich|dawn_dusk_condition|pedestrian_rich,42
9579041874842301407_1300_000_1320_000,9579041874842301407_1300_000_1320_000.parquet,199,Dawn/Dusk,location_sf,sunny,53.819,65,100.0,18.523,29,100.0,0.0,0,0.0,0.0,72.342,high,dawn_dusk_condition,42
1331771191699435763_440_000_460_000,1331771191699435763_440_000_460_000.parquet,198,Dawn/Dusk,location_sf,sunny,16.111,23,100.0,0.076,1,7.58,0.0,0,0.0,0.0,16.187,low,dawn_dusk_condition,42
12657584952502228282_3940_000_3960_000,12657584952502228282_3940_000_3960_000.parquet,198,Dawn/Dusk,location_sf,sunny,50.066,93,100.0,4.636,15,95.96,0.035,1,3.54,0.0,54.737,medium,dawn_dusk_condition,42
14624061243736004421_1840_000_1860_000,14624061243736004421_1840_000_1860_000.parquet,199,Dawn/Dusk,location_sf,sunny,22.884,26,100.0,15.683,20,100.0,0.0,0,0.0,0.0,38.568,medium,dawn_dusk_condition,42
4246537812751004276_1560_000_1580_000,4246537812751004276_1560_000_1580_000.parquet,199,Dawn/Dusk,location_sf,sunny,48.905,53,100.0,0.0,0,0.0,0.0,0,0.0,0.0,48.905,medium,dawn_dusk_condition,42
6324079979569135086_2372_300_2392_300,6324079979569135086_2372_300_2392_300.parquet,197,Day,location_other,sunny,68.198,92,100.0,4.843,8,100.0,2.614,7,85.79,0.0,75.655,high,day_location_density_balance,42
7988627150403732100_1487_540_1507_540,7988627150403732100_1487_540_1507_540.parquet,199,Day,location_other,sunny,33.779,38,100.0,47.899,151,100.0,0.0,0,0.0,0.0,81.678,high,pedestrian_rich,42
12358364923781697038_2232_990_2252_990,12358364923781697038_2232_990_2252_990.parquet,199,Day,location_other,sunny,13.312,21,100.0,4.055,11,73.37,0.06,1,6.03,0.0,17.427,low,day_location_density_balance,42
14687328292438466674_892_000_912_000,14687328292438466674_892_000_912_000.parquet,198,Day,location_other,sunny,9.253,13,100.0,0.0,0,0.0,0.0,0,0.0,0.0,9.253,low,day_location_density_balance,42
8398516118967750070_3958_000_3978_000,8398516118967750070_3958_000_3978_000.parquet,199,Day,location_other,sunny,27.945,37,100.0,0.0,0,0.0,0.0,0,0.0,0.0,27.945,medium,day_location_density_balance,42
16213317953898915772_1597_170_1617_170,16213317953898915772_1597_170_1617_170.parquet,197,Day,location_phx,sunny,69.036,87,100.0,11.396,17,100.0,0.751,1,75.13,0.0,81.183,high,day_location_density_balance,42
4423389401016162461_4235_900_4255_900,4423389401016162461_4235_900_4255_900.parquet,198,Day,location_phx,sunny,61.056,79,100.0,10.904,21,100.0,0.0,0,0.0,0.0,71.96,high,day_location_density_balance,42
6001094526418694294_4609_470_4629_470,6001094526418694294_4609_470_4629_470.parquet,198,Day,location_phx,sunny,84.773,115,100.0,4.091,8,100.0,0.965,1,96.46,0.0,89.828,high,cyclist_rich,42
11616035176233595745_3548_820_3568_820,11616035176233595745_3548_820_3568_820.parquet,199,Day,location_phx,sunny,12.643,22,100.0,0.734,2,70.85,0.0,0,0.0,0.0,13.377,low,day_location_density_balance,42
15959580576639476066_5087_580_5107_580,15959580576639476066_5087_580_5107_580.parquet,199,Day,location_phx,sunny,9.432,13,100.0,2.734,7,94.47,0.0,0,0.0,0.0,12.166,low,day_location_density_balance,42
2736377008667623133_2676_410_2696_410,2736377008667623133_2676_410_2696_410.parquet,197,Day,location_phx,sunny,5.64,12,100.0,3.178,9,95.94,1.036,2,95.43,0.0,9.853,low,cyclist_rich,42
3039251927598134881_1240_610_1260_610,3039251927598134881_1240_610_1260_610.parquet,198,Day,location_phx,sunny,11.712,20,100.0,10.434,26,87.88,0.0,0,0.0,0.0,22.146,low,day_location_density_balance,42
3126522626440597519_806_440_826_440,3126522626440597519_806_440_826_440.parquet,198,Day,location_phx,sunny,17.646,43,100.0,1.455,6,43.94,3.646,8,100.0,0.0,22.747,low,cyclist_rich,42
2105808889850693535_2295_720_2315_720,2105808889850693535_2295_720_2315_720.parquet,198,Day,location_phx,sunny,54.258,108,100.0,7.116,21,99.49,0.187,2,17.17,0.0,61.561,medium,day_location_density_balance,42
10289507859301986274_4200_000_4220_000,10289507859301986274_4200_000_4220_000.parquet,198,Day,location_sf,sunny,87.535,136,100.0,60.04,85,100.0,2.899,7,97.98,0.0,150.475,high,cyclist_rich|pedestrian_rich,42
13356997604177841771_3360_000_3380_000,13356997604177841771_3360_000_3380_000.parquet,198,Day,location_sf,sunny,37.328,75,100.0,39.515,55,100.0,2.263,3,100.0,0.0,79.106,high,cyclist_rich,42
15224741240438106736_960_000_980_000,15224741240438106736_960_000_980_000.parquet,199,Day,location_sf,sunny,26.709,43,100.0,54.653,75,100.0,0.075,1,7.54,0.0,81.437,high,pedestrian_rich,42
30779396576054160_1880_000_1900_000,30779396576054160_1880_000_1900_000.parquet,198,Day,location_sf,sunny,36.788,47,100.0,54.742,62,100.0,1.0,1,100.0,0.0,92.53,high,cyclist_rich|pedestrian_rich,42
3577352947946244999_3980_000_4000_000,3577352947946244999_3980_000_4000_000.parquet,199,Day,location_sf,sunny,43.849,56,100.0,38.794,49,100.0,1.276,2,100.0,0.0,83.92,high,cyclist_rich,42
4690718861228194910_1980_000_2000_000,4690718861228194910_1980_000_2000_000.parquet,199,Day,location_sf,sunny,48.995,57,100.0,17.055,23,100.0,0.392,1,39.2,0.0,66.442,high,day_location_density_balance,42
7493781117404461396_2140_000_2160_000,7493781117404461396_2140_000_2160_000.parquet,199,Day,location_sf,sunny,147.116,217,100.0,78.935,113,100.0,0.0,0,0.0,0.0,226.05,high,pedestrian_rich,42
7732779227944176527_2120_000_2140_000,7732779227944176527_2120_000_2140_000.parquet,199,Day,location_sf,sunny,68.317,106,100.0,51.869,76,100.0,0.0,0,0.0,0.0,120.186,high,pedestrian_rich,42
8137195482049459160_3100_000_3120_000,8137195482049459160_3100_000_3120_000.parquet,199,Day,location_sf,sunny,41.859,48,100.0,29.854,37,100.0,0.0,0,0.0,0.0,71.714,high,day_location_density_balance,42
8302000153252334863_6020_000_6040_000,8302000153252334863_6020_000_6040_000.parquet,199,Day,location_sf,sunny,52.678,75,100.0,62.035,74,100.0,0.337,1,33.67,0.0,115.05,high,pedestrian_rich,42
8506432817378693815_4860_000_4880_000,8506432817378693815_4860_000_4880_000.parquet,198,Day,location_sf,sunny,34.136,44,100.0,75.909,100,100.0,1.571,3,100.0,0.0,111.616,high,cyclist_rich|pedestrian_rich,42
12306251798468767010_560_000_580_000,12306251798468767010_560_000_580_000.parquet,198,Day,location_sf,sunny,12.672,20,100.0,0.747,3,57.07,0.0,0,0.0,0.0,13.419,low,day_location_density_balance,42
17135518413411879545_1480_000_1500_000,17135518413411879545_1480_000_1500_000.parquet,197,Day,location_sf,sunny,9.274,15,82.23,7.305,17,91.88,0.0,0,0.0,0.0,16.579,low,day_location_density_balance,42
933621182106051783_4160_000_4180_000,933621182106051783_4160_000_4180_000.parquet,198,Day,location_sf,sunny,49.354,92,100.0,5.672,9,100.0,0.0,0,0.0,0.0,55.025,medium,day_location_density_balance,42
13184115878756336167_1354_000_1374_000,13184115878756336167_1354_000_1374_000.parquet,199,Night,location_other,sunny,67.482,109,100.0,1.296,4,71.86,0.0,0,0.0,0.0,68.779,high,night_condition,42
11901761444769610243_556_000_576_000,11901761444769610243_556_000_576_000.parquet,196,Night,location_other,sunny,9.128,15,100.0,0.0,0,0.0,0.0,0,0.0,0.0,9.128,low,night_condition,42
10335539493577748957_1372_870_1392_870,10335539493577748957_1372_870_1392_870.parquet,198,Night,location_phx,sunny,17.04,34,100.0,1.338,8,47.98,0.0,0,0.0,0.0,18.379,low,night_condition,42
11037651371539287009_77_670_97_670,11037651371539287009_77_670_97_670.parquet,191,Night,location_phx,sunny,11.686,17,100.0,2.131,4,65.45,0.0,0,0.0,0.0,13.817,low,night_condition,42
18305329035161925340_4466_730_4486_730,18305329035161925340_4466_730_4486_730.parquet,197,Night,location_phx,sunny,16.64,47,100.0,0.0,0,0.0,0.0,0,0.0,0.0,16.64,low,night_condition,42
4816728784073043251_5273_410_5293_410,4816728784073043251_5273_410_5293_410.parquet,196,Night,location_phx,sunny,7.255,12,100.0,1.158,4,56.63,0.0,0,0.0,0.0,8.413,low,night_condition,42
9164052963393400298_4692_970_4712_970,9164052963393400298_4692_970_4712_970.parquet,199,Night,location_phx,sunny,21.583,45,100.0,0.864,8,26.63,0.0,0,0.0,0.0,22.447,low,night_condition,42
14107757919671295130_3546_370_3566_370,14107757919671295130_3546_370_3566_370.parquet,194,Night,location_phx,sunny,35.773,55,100.0,1.675,7,72.16,0.0,0,0.0,0.0,37.448,medium,night_condition,42
18024188333634186656_1566_600_1586_600,18024188333634186656_1566_600_1586_600.parquet,198,Night,location_phx,sunny,49.51,63,100.0,12.071,26,100.0,0.0,0,0.0,0.0,61.581,medium,night_condition,42
8679184381783013073_7740_000_7760_000,8679184381783013073_7740_000_7760_000.parquet,198,Night,location_sf,sunny,49.303,80,100.0,15.364,31,100.0,0.854,2,82.83,0.0,65.52,high,night_condition,42
13694146168933185611_800_000_820_000,13694146168933185611_800_000_820_000.parquet,193,Night,location_sf,sunny,15.767,21,100.0,0.0,0,0.0,0.0,0,0.0,0.0,15.767,low,night_condition,42
