detector,class_name,object_size_bin,KITTI_gt_objects,Waymo_gt_objects,KITTI_recall,Waymo_recall,recall_drop_KITTI_minus_Waymo,KITTI_false_negative_rate,Waymo_false_negative_rate,fnr_increase_Waymo_minus_KITTI
yolo,Vehicle,small,4075,14503,0.991656,0.094325,0.897331,0.008344,0.905675,0.897331
yolo,Vehicle,medium,1385,1578,0.992058,0.529151,0.462907,0.007942,0.470849,0.462907
yolo,Vehicle,large,1012,847,0.994071,0.632822,0.361249,0.005929,0.367178,0.361249
yolo,Vehicle,all_sizes,6472,16928,0.99212,0.161803,0.830317,0.00788,0.838197,0.830317
yolo,Pedestrian,small,646,6746,0.93808,0.05633,0.88175,0.06192,0.94367,0.88175
yolo,Pedestrian,medium,298,334,0.996644,0.784431,0.212213,0.003356,0.215569,0.212213
yolo,Pedestrian,large,36,47,1.0,0.978723,0.021277,0.0,0.021277,0.021277
yolo,Pedestrian,all_sizes,980,7127,0.958163,0.096534,0.861629,0.041837,0.903466,0.861629
yolo,Cyclist,small,260,684,0.992308,0.080409,0.911899,0.007692,0.919591,0.911899
yolo,Cyclist,medium,57,66,0.964912,0.530303,0.434609,0.035088,0.469697,0.434609
yolo,Cyclist,large,23,14,1.0,0.285714,0.714286,0.0,0.714286,0.714286
yolo,Cyclist,all_sizes,340,764,0.988235,0.123037,0.865198,0.011765,0.876963,0.865198
yolo,Vulnerable_Road_Users,small,906,7430,0.953642,0.058546,0.895096,0.046358,0.941454,0.895096
yolo,Vulnerable_Road_Users,medium,355,400,0.991549,0.7425,0.249049,0.008451,0.2575,0.249049
yolo,Vulnerable_Road_Users,large,59,61,1.0,0.819672,0.180328,0.0,0.180328,0.180328
yolo,Vulnerable_Road_Users,all_sizes,1320,7891,0.965909,0.0991,0.866809,0.034091,0.9009,0.866809
yolo,All_Classes,small,4981,21933,0.984742,0.082205,0.902537,0.015258,0.917795,0.902537
yolo,All_Classes,medium,1740,1978,0.991954,0.572295,0.419659,0.008046,0.427705,0.419659
