dataset,detector,class_name,object_size_bin,tp,fn,gt_objects,recall,false_negative_rate,mean_normalized_area
kitti,yolo,Vehicle,small,4041,34,4075,0.991656,0.008344,0.00152752
kitti,yolo,Vehicle,medium,1374,11,1385,0.992058,0.007942,0.00824598
kitti,yolo,Vehicle,large,1006,6,1012,0.994071,0.005929,0.03280312
kitti,yolo,Vehicle,all_sizes,6421,51,6472,0.99212,0.00788,0.0078557
kitti,yolo,Pedestrian,small,606,40,646,0.93808,0.06192,0.00141046
kitti,yolo,Pedestrian,medium,297,1,298,0.996644,0.003356,0.00827854
kitti,yolo,Pedestrian,large,36,0,36,1.0,0.0,0.02105433
kitti,yolo,Pedestrian,all_sizes,939,41,980,0.958163,0.041837,0.00422053
kitti,yolo,Cyclist,small,258,2,260,0.992308,0.007692,0.00123628
kitti,yolo,Cyclist,medium,55,2,57,0.964912,0.035088,0.00792926
kitti,yolo,Cyclist,large,23,0,23,1.0,0.0,0.02783587
kitti,yolo,Cyclist,all_sizes,336,4,340,0.988235,0.011765,0.00415773
kitti,yolo,Vulnerable_Road_Users,small,864,42,906,0.953642,0.046358,0.00136048
kitti,yolo,Vulnerable_Road_Users,medium,352,3,355,0.991549,0.008451,0.00822246
kitti,yolo,Vulnerable_Road_Users,large,59,0,59,1.0,0.0,0.02369798
kitti,yolo,Vulnerable_Road_Users,all_sizes,1275,45,1320,0.965909,0.034091,0.00420435
kitti,yolo,All_Classes,small,4905,76,4981,0.984742,0.015258,0.00149714
kitti,yolo,All_Classes,medium,1726,14,1740,0.991954,0.008046,0.00824118
kitti,yolo,All_Classes,large,1065,6,1071,0.994398,0.005602,0.03230153
kitti,yolo,All_Classes,all_sizes,7696,96,7792,0.98768,0.01232,0.00723715
kitti,rtdetr,Vehicle,small,4059,16,4075,0.996074,0.003926,0.00152752
kitti,rtdetr,Vehicle,medium,1381,4,1385,0.997112,0.002888,0.00824598
kitti,rtdetr,Vehicle,large,1011,1,1012,0.999012,0.000988,0.03280312
kitti,rtdetr,Vehicle,all_sizes,6451,21,6472,0.996755,0.003245,0.0078557
kitti,rtdetr,Pedestrian,small,629,17,646,0.973684,0.026316,0.00141046
kitti,rtdetr,Pedestrian,medium,298,0,298,1.0,0.0,0.00827854
kitti,rtdetr,Pedestrian,large,36,0,36,1.0,0.0,0.02105433
kitti,rtdetr,Pedestrian,all_sizes,963,17,980,0.982653,0.017347,0.00422053
