dataset,detector,class_name,object_size_bin,tp,fn,gt_objects,recall,false_negative_rate,mean_normalized_area
kitti,retinanet,Vehicle,small,3953,122,4075,0.970061,0.029939,0.00152752
kitti,faster_rcnn,Vehicle,small,3963,112,4075,0.972515,0.027485,0.00152752
kitti,yolo,Vehicle,small,4041,34,4075,0.991656,0.008344,0.00152752
kitti,rtdetr,Vehicle,small,4059,16,4075,0.996074,0.003926,0.00152752
kitti,retinanet,Pedestrian,small,534,112,646,0.826625,0.173375,0.00141046
kitti,faster_rcnn,Pedestrian,small,582,64,646,0.900929,0.099071,0.00141046
kitti,yolo,Pedestrian,small,606,40,646,0.93808,0.06192,0.00141046
kitti,rtdetr,Pedestrian,small,629,17,646,0.973684,0.026316,0.00141046
kitti,retinanet,Cyclist,small,234,26,260,0.9,0.1,0.00123628
kitti,faster_rcnn,Cyclist,small,250,10,260,0.961538,0.038462,0.00123628
kitti,yolo,Cyclist,small,258,2,260,0.992308,0.007692,0.00123628
kitti,rtdetr,Cyclist,small,259,1,260,0.996154,0.003846,0.00123628
kitti,retinanet,Vulnerable_Road_Users,small,768,138,906,0.847682,0.152318,0.00136048
kitti,faster_rcnn,Vulnerable_Road_Users,small,832,74,906,0.918322,0.081678,0.00136048
kitti,yolo,Vulnerable_Road_Users,small,864,42,906,0.953642,0.046358,0.00136048
kitti,rtdetr,Vulnerable_Road_Users,small,888,18,906,0.980132,0.019868,0.00136048
kitti,retinanet,All_Classes,small,4721,260,4981,0.947802,0.052198,0.00149714
kitti,faster_rcnn,All_Classes,small,4795,186,4981,0.962658,0.037342,0.00149714
kitti,yolo,All_Classes,small,4905,76,4981,0.984742,0.015258,0.00149714
kitti,rtdetr,All_Classes,small,4947,34,4981,0.993174,0.006826,0.00149714
waymo,yolo,Vehicle,small,1368,13135,14503,0.094325,0.905675,0.00066664
waymo,faster_rcnn,Vehicle,small,1628,12875,14503,0.112253,0.887747,0.00066664
waymo,retinanet,Vehicle,small,2022,12481,14503,0.139419,0.860581,0.00066664
waymo,rtdetr,Vehicle,small,3107,11396,14503,0.214232,0.785768,0.00066664
waymo,yolo,Pedestrian,small,380,6366,6746,0.05633,0.94367,0.00050774
waymo,faster_rcnn,Pedestrian,small,735,6011,6746,0.108953,0.891047,0.00050774
waymo,retinanet,Pedestrian,small,865,5881,6746,0.128224,0.871776,0.00050774
waymo,rtdetr,Pedestrian,small,1505,5241,6746,0.223095,0.776905,0.00050774
waymo,yolo,Cyclist,small,55,629,684,0.080409,0.919591,0.00052367
waymo,faster_rcnn,Cyclist,small,69,615,684,0.100877,0.899123,0.00052367
waymo,retinanet,Cyclist,small,82,602,684,0.119883,0.880117,0.00052367
waymo,rtdetr,Cyclist,small,168,516,684,0.245614,0.754386,0.00052367
waymo,yolo,Vulnerable_Road_Users,small,435,6995,7430,0.058546,0.941454,0.00050921
waymo,faster_rcnn,Vulnerable_Road_Users,small,804,6626,7430,0.10821,0.89179,0.00050921
waymo,retinanet,Vulnerable_Road_Users,small,947,6483,7430,0.127456,0.872544,0.00050921
waymo,rtdetr,Vulnerable_Road_Users,small,1673,5757,7430,0.225168,0.774832,0.00050921
waymo,yolo,All_Classes,small,1803,20130,21933,0.082205,0.917795,0.00061331
waymo,faster_rcnn,All_Classes,small,2432,19501,21933,0.110883,0.889117,0.00061331
waymo,retinanet,All_Classes,small,2969,18964,21933,0.135367,0.864633,0.00061331
waymo,rtdetr,All_Classes,small,4780,17153,21933,0.217936,0.782064,0.00061331
