dataset,detector,gt_class_name,pred_class_name,object_size_bin,risk_level,class_confusion_count,high_confidence_count,safety_relevant_count,mean_score,mean_iou
kitti,yolo,Vehicle,Cyclist,small,high,2,0,2,0.01440943,0.405476
kitti,yolo,Pedestrian,Vehicle,small,high,1,0,1,0.00129298,0.359172
kitti,yolo,Pedestrian,Cyclist,small,high,4,0,4,0.02815495,0.399606
kitti,yolo,Cyclist,Vehicle,small,high,1,0,1,0.00147035,0.329822
kitti,yolo,Cyclist,Pedestrian,medium,high,1,0,1,0.00187902,0.579466
kitti,rtdetr,Vehicle,Pedestrian,small,high,8,0,8,0.01081601,0.405256
kitti,rtdetr,Vehicle,Pedestrian,medium,high,2,0,2,0.01342156,0.434194
kitti,rtdetr,Vehicle,Cyclist,small,high,3,0,3,0.01127523,0.43681
kitti,rtdetr,Vehicle,Cyclist,medium,high,1,0,1,0.02187559,0.304129
kitti,rtdetr,Pedestrian,Vehicle,small,high,7,0,7,0.0231105,0.444308
kitti,rtdetr,Pedestrian,Cyclist,small,high,5,0,5,0.02112806,0.381326
kitti,rtdetr,Cyclist,Pedestrian,small,high,1,1,1,0.42139426,0.473981
kitti,retinanet,Vehicle,Pedestrian,small,high,37,0,37,0.00813493,0.481667
kitti,retinanet,Vehicle,Pedestrian,medium,high,10,0,10,0.00575537,0.450949
kitti,retinanet,Vehicle,Pedestrian,large,high,4,0,4,0.00531428,0.759931
kitti,retinanet,Vehicle,Cyclist,small,high,28,0,28,0.01187063,0.550434
kitti,retinanet,Vehicle,Cyclist,medium,high,14,0,14,0.00660534,0.645435
kitti,retinanet,Vehicle,Cyclist,large,high,3,0,3,0.02041529,0.695279
kitti,retinanet,Pedestrian,Vehicle,small,high,44,0,44,0.01079732,0.494672
kitti,retinanet,Pedestrian,Vehicle,medium,high,4,0,4,0.01027378,0.580945
kitti,retinanet,Pedestrian,Vehicle,large,high,1,0,1,0.00748606,0.702306
kitti,retinanet,Pedestrian,Cyclist,small,high,29,2,29,0.06003585,0.531891
kitti,retinanet,Pedestrian,Cyclist,medium,high,4,0,4,0.02474196,0.687967
kitti,retinanet,Cyclist,Vehicle,small,high,17,0,17,0.01701211,0.528585
kitti,retinanet,Cyclist,Vehicle,medium,high,2,0,2,0.00845359,0.537705
kitti,retinanet,Cyclist,Pedestrian,small,high,5,0,5,0.02610958,0.591454
kitti,retinanet,Cyclist,Pedestrian,medium,high,1,0,1,0.03456917,0.530029
kitti,faster_rcnn,Vehicle,Pedestrian,small,high,12,0,12,0.00276407,0.407583
kitti,faster_rcnn,Vehicle,Pedestrian,medium,high,9,1,9,0.03938168,0.414455
kitti,faster_rcnn,Vehicle,Cyclist,small,high,25,4,25,0.07020584,0.478167
kitti,faster_rcnn,Vehicle,Cyclist,medium,high,11,0,11,0.00300173,0.457044
kitti,faster_rcnn,Vehicle,Cyclist,large,high,12,0,12,0.00239491,0.451829
kitti,faster_rcnn,Pedestrian,Vehicle,small,high,3,0,3,0.00924295,0.36296
kitti,faster_rcnn,Pedestrian,Vehicle,medium,high,3,0,3,0.00890585,0.54784
kitti,faster_rcnn,Pedestrian,Vehicle,large,high,1,0,1,0.00958174,0.426221
kitti,faster_rcnn,Pedestrian,Cyclist,small,high,25,2,25,0.044351,0.478722
kitti,faster_rcnn,Pedestrian,Cyclist,medium,high,9,0,9,0.00374016,0.469219
kitti,faster_rcnn,Pedestrian,Cyclist,large,high,1,0,1,0.02629119,0.740366
kitti,faster_rcnn,Cyclist,Vehicle,small,high,1,0,1,0.00220472,0.450184
kitti,faster_rcnn,Cyclist,Pedestrian,small,high,1,0,1,0.00242526,0.321733
kitti,faster_rcnn,Cyclist,Pedestrian,medium,high,1,0,1,0.02589222,0.405995
waymo,yolo,Vehicle,Pedestrian,small,high,55,0,55,0.00466163,0.441466
waymo,yolo,Vehicle,Pedestrian,medium,high,15,0,15,0.00541789,0.416257
waymo,yolo,Vehicle,Cyclist,small,high,4,0,4,0.00342111,0.448532
waymo,yolo,Vehicle,Cyclist,medium,high,9,0,9,0.00368201,0.400559
waymo,yolo,Pedestrian,Vehicle,small,high,12,0,12,0.01251049,0.492532
waymo,yolo,Pedestrian,Vehicle,medium,high,2,0,2,0.00295314,0.583535
waymo,yolo,Pedestrian,Cyclist,small,high,30,1,30,0.04513317,0.502501
waymo,yolo,Pedestrian,Cyclist,medium,high,2,0,2,0.01340274,0.627422
waymo,yolo,Cyclist,Vehicle,medium,high,2,0,2,0.00484038,0.495152
waymo,yolo,Cyclist,Vehicle,large,high,1,0,1,0.008968,0.390414
waymo,yolo,Cyclist,Pedestrian,small,high,15,2,15,0.0784493,0.700811
waymo,yolo,Cyclist,Pedestrian,medium,high,12,6,12,0.29906626,0.653828
waymo,rtdetr,Vehicle,Pedestrian,small,high,631,0,631,0.01037318,0.395988
waymo,rtdetr,Vehicle,Pedestrian,medium,high,18,0,18,0.01193715,0.430308
waymo,rtdetr,Vehicle,Pedestrian,large,high,1,0,1,0.00596543,0.30467
waymo,rtdetr,Vehicle,Cyclist,small,high,205,0,205,0.01036747,0.397294
waymo,rtdetr,Vehicle,Cyclist,medium,high,46,0,46,0.00918763,0.402983
waymo,rtdetr,Vehicle,Cyclist,large,high,16,0,16,0.00665281,0.388034
waymo,rtdetr,Pedestrian,Vehicle,small,high,277,0,277,0.01256005,0.404672
waymo,rtdetr,Pedestrian,Vehicle,medium,high,16,0,16,0.008886,0.390759
waymo,rtdetr,Pedestrian,Vehicle,large,high,1,0,1,0.0505416,0.441864
waymo,rtdetr,Pedestrian,Cyclist,small,high,422,2,422,0.02701849,0.392849
waymo,rtdetr,Pedestrian,Cyclist,medium,high,6,0,6,0.01242129,0.428405
waymo,rtdetr,Cyclist,Vehicle,small,high,22,0,22,0.01267993,0.41319
waymo,rtdetr,Cyclist,Vehicle,medium,high,3,0,3,0.00726703,0.341173
waymo,rtdetr,Cyclist,Vehicle,large,high,2,0,2,0.00688006,0.422038
waymo,rtdetr,Cyclist,Pedestrian,small,high,107,0,107,0.02648006,0.416214
waymo,rtdetr,Cyclist,Pedestrian,large,high,1,0,1,0.00697812,0.350255
waymo,retinanet,Vehicle,Pedestrian,small,high,50,10,50,0.17200716,0.423215
waymo,retinanet,Vehicle,Pedestrian,medium,high,4,0,4,0.08198448,0.526371
waymo,retinanet,Vehicle,Pedestrian,large,high,2,0,2,0.09299487,0.335921
waymo,retinanet,Vehicle,Cyclist,small,high,6,0,6,0.06388025,0.415335
waymo,retinanet,Vehicle,Cyclist,medium,high,1,0,1,0.0714044,0.396265
waymo,retinanet,Vehicle,Cyclist,large,high,1,0,1,0.07451155,0.33762
waymo,retinanet,Pedestrian,Vehicle,small,high,27,2,27,0.10947626,0.440977
waymo,retinanet,Pedestrian,Vehicle,medium,high,3,0,3,0.07304915,0.473001
waymo,retinanet,Pedestrian,Cyclist,small,high,80,30,80,0.32383507,0.466301
waymo,retinanet,Pedestrian,Cyclist,medium,high,15,0,15,0.08676205,0.507089
waymo,retinanet,Pedestrian,Cyclist,large,high,1,0,1,0.05229952,0.474884
waymo,retinanet,Cyclist,Vehicle,small,high,2,0,2,0.09243787,0.367254
waymo,retinanet,Cyclist,Vehicle,large,high,1,1,1,0.58148968,0.462993
waymo,retinanet,Cyclist,Pedestrian,small,high,46,22,46,0.34281643,0.567341
waymo,retinanet,Cyclist,Pedestrian,medium,high,2,1,2,0.53729205,0.55865
waymo,faster_rcnn,Vehicle,Pedestrian,small,high,71,28,71,0.2793508,0.379834
waymo,faster_rcnn,Vehicle,Pedestrian,medium,high,7,1,7,0.21011992,0.404426
waymo,faster_rcnn,Vehicle,Cyclist,small,high,16,3,16,0.15315461,0.377492
waymo,faster_rcnn,Vehicle,Cyclist,medium,high,2,2,2,0.51894812,0.38903
waymo,faster_rcnn,Pedestrian,Vehicle,small,high,15,4,15,0.21925208,0.370971
waymo,faster_rcnn,Pedestrian,Vehicle,medium,high,1,0,1,0.08466171,0.340786
waymo,faster_rcnn,Pedestrian,Cyclist,small,high,124,56,124,0.37733559,0.450443
waymo,faster_rcnn,Pedestrian,Cyclist,medium,high,4,1,4,0.26851261,0.469578
waymo,faster_rcnn,Pedestrian,Cyclist,large,high,2,2,2,0.44827226,0.491833
waymo,faster_rcnn,Cyclist,Vehicle,medium,high,1,0,1,0.19866823,0.561182
waymo,faster_rcnn,Cyclist,Pedestrian,small,high,66,30,66,0.31832112,0.472971
waymo,faster_rcnn,Cyclist,Pedestrian,medium,high,10,9,10,0.820888,0.605343
