dataset,detector,class_name,tp,fn,fp,gt_objects,predictions,recall,false_negative_rate,precision
kitti,faster_rcnn,Cyclist,328,12,8951,340,9279,0.964706,0.035294,0.035349
kitti,faster_rcnn,Pedestrian,897,83,10359,980,11256,0.915306,0.084694,0.079691
kitti,faster_rcnn,Vehicle,6288,184,9915,6472,16203,0.97157,0.02843,0.388076
kitti,retinanet,Cyclist,311,29,27711,340,28022,0.914706,0.085294,0.011098
kitti,retinanet,Pedestrian,859,121,67298,980,68157,0.876531,0.123469,0.012603
kitti,retinanet,Vehicle,6313,159,316615,6472,322928,0.975433,0.024567,0.019549
kitti,rtdetr,Cyclist,339,1,51081,340,51420,0.997059,0.002941,0.006593
kitti,rtdetr,Pedestrian,963,17,101941,980,102904,0.982653,0.017347,0.009358
kitti,rtdetr,Vehicle,6451,21,288025,6472,294476,0.996755,0.003245,0.021907
kitti,yolo,Cyclist,336,4,1662,340,1998,0.988235,0.011765,0.168168
kitti,yolo,Pedestrian,939,41,7686,980,8625,0.958163,0.041837,0.10887
kitti,yolo,Vehicle,6421,51,9210,6472,15631,0.99212,0.00788,0.410786
waymo,faster_rcnn,Cyclist,114,650,1132,764,1246,0.149215,0.850785,0.091493
waymo,faster_rcnn,Pedestrian,1030,6097,2625,7127,3655,0.144521,0.855479,0.281806
waymo,faster_rcnn,Vehicle,3103,13825,2909,16928,6012,0.183306,0.816694,0.516134
waymo,retinanet,Cyclist,140,624,379,764,519,0.183246,0.816754,0.26975
waymo,retinanet,Pedestrian,1177,5950,1503,7127,2680,0.165147,0.834853,0.439179
waymo,retinanet,Vehicle,3723,13205,1969,16928,5692,0.219931,0.780069,0.654076
waymo,rtdetr,Cyclist,231,533,54281,764,54512,0.302356,0.697644,0.004238
waymo,rtdetr,Pedestrian,1840,5287,74632,7127,76472,0.258173,0.741827,0.024061
waymo,rtdetr,Vehicle,5061,11867,162755,16928,167816,0.298972,0.701028,0.030158
waymo,yolo,Cyclist,94,670,375,764,469,0.123037,0.876963,0.200426
waymo,yolo,Pedestrian,688,6439,3455,7127,4143,0.096534,0.903466,0.166063
waymo,yolo,Vehicle,2739,14189,2731,16928,5470,0.161803,0.838197,0.500731
