dataset,detector,failure_type,analysis_class_name,object_size_bin,risk_level,count
kitti,faster_rcnn,class_confusion,Cyclist,medium,high,1
kitti,faster_rcnn,class_confusion,Cyclist,small,high,2
kitti,faster_rcnn,class_confusion,Pedestrian,large,high,2
kitti,faster_rcnn,class_confusion,Pedestrian,medium,high,12
kitti,faster_rcnn,class_confusion,Pedestrian,small,high,28
kitti,faster_rcnn,class_confusion,Vehicle,large,high,12
kitti,faster_rcnn,class_confusion,Vehicle,medium,high,20
kitti,faster_rcnn,class_confusion,Vehicle,small,high,37
kitti,faster_rcnn,duplicate_detection,Cyclist,large,low,4
kitti,faster_rcnn,duplicate_detection,Cyclist,medium,low,10
kitti,faster_rcnn,duplicate_detection,Cyclist,small,low,52
kitti,faster_rcnn,duplicate_detection,Pedestrian,large,low,8
kitti,faster_rcnn,duplicate_detection,Pedestrian,medium,low,68
kitti,faster_rcnn,duplicate_detection,Pedestrian,small,low,200
kitti,faster_rcnn,duplicate_detection,Vehicle,large,low,61
kitti,faster_rcnn,duplicate_detection,Vehicle,medium,low,153
kitti,faster_rcnn,duplicate_detection,Vehicle,small,low,402
kitti,faster_rcnn,false_negative,Cyclist,medium,critical,2
kitti,faster_rcnn,false_negative,Cyclist,small,critical,10
kitti,faster_rcnn,false_negative,Pedestrian,large,critical,3
kitti,faster_rcnn,false_negative,Pedestrian,medium,critical,16
kitti,faster_rcnn,false_negative,Pedestrian,small,critical,64
kitti,faster_rcnn,false_negative,Vehicle,large,medium,20
kitti,faster_rcnn,false_negative,Vehicle,medium,medium,52
kitti,faster_rcnn,false_negative,Vehicle,small,medium,112
kitti,faster_rcnn,false_positive,Cyclist,not_applicable,medium,8951
kitti,faster_rcnn,false_positive,Pedestrian,not_applicable,medium,10359
kitti,faster_rcnn,false_positive,Vehicle,not_applicable,low,9915
kitti,faster_rcnn,localization_error,Cyclist,medium,medium,1
kitti,faster_rcnn,localization_error,Cyclist,small,medium,6
kitti,faster_rcnn,localization_error,Pedestrian,large,medium,3
kitti,faster_rcnn,localization_error,Pedestrian,medium,medium,14
kitti,faster_rcnn,localization_error,Pedestrian,small,medium,47
kitti,faster_rcnn,localization_error,Vehicle,large,low,14
kitti,faster_rcnn,localization_error,Vehicle,medium,low,40
kitti,faster_rcnn,localization_error,Vehicle,small,low,74
kitti,faster_rcnn,true_positive,Cyclist,large,none,23
kitti,faster_rcnn,true_positive,Cyclist,medium,none,55
kitti,faster_rcnn,true_positive,Cyclist,small,none,250
kitti,faster_rcnn,true_positive,Pedestrian,large,none,33
kitti,faster_rcnn,true_positive,Pedestrian,medium,none,282
kitti,faster_rcnn,true_positive,Pedestrian,small,none,582
kitti,faster_rcnn,true_positive,Vehicle,large,none,992
kitti,faster_rcnn,true_positive,Vehicle,medium,none,1333
kitti,faster_rcnn,true_positive,Vehicle,small,none,3963
kitti,retinanet,class_confusion,Cyclist,medium,high,3
kitti,retinanet,class_confusion,Cyclist,small,high,22
kitti,retinanet,class_confusion,Pedestrian,large,high,1
kitti,retinanet,class_confusion,Pedestrian,medium,high,8
kitti,retinanet,class_confusion,Pedestrian,small,high,73
kitti,retinanet,class_confusion,Vehicle,large,high,7
kitti,retinanet,class_confusion,Vehicle,medium,high,24
kitti,retinanet,class_confusion,Vehicle,small,high,65
kitti,retinanet,duplicate_detection,Cyclist,large,low,7
kitti,retinanet,duplicate_detection,Cyclist,medium,low,12
kitti,retinanet,duplicate_detection,Cyclist,small,low,39
kitti,retinanet,duplicate_detection,Pedestrian,large,low,36
kitti,retinanet,duplicate_detection,Pedestrian,medium,low,135
kitti,retinanet,duplicate_detection,Pedestrian,small,low,152
kitti,retinanet,duplicate_detection,Vehicle,large,low,214
kitti,retinanet,duplicate_detection,Vehicle,medium,low,381
kitti,retinanet,duplicate_detection,Vehicle,small,low,828
kitti,retinanet,false_negative,Cyclist,medium,critical,3
kitti,retinanet,false_negative,Cyclist,small,critical,26
kitti,retinanet,false_negative,Pedestrian,large,critical,1
kitti,retinanet,false_negative,Pedestrian,medium,critical,8
kitti,retinanet,false_negative,Pedestrian,small,critical,112
kitti,retinanet,false_negative,Vehicle,large,medium,7
kitti,retinanet,false_negative,Vehicle,medium,medium,30
kitti,retinanet,false_negative,Vehicle,small,medium,122
kitti,retinanet,false_positive,Cyclist,not_applicable,medium,27711
kitti,retinanet,false_positive,Pedestrian,not_applicable,medium,67298
kitti,retinanet,false_positive,Vehicle,not_applicable,low,316615
kitti,retinanet,localization_error,Cyclist,medium,medium,3
kitti,retinanet,localization_error,Cyclist,small,medium,20
kitti,retinanet,localization_error,Pedestrian,large,medium,1
kitti,retinanet,localization_error,Pedestrian,medium,medium,8
kitti,retinanet,localization_error,Pedestrian,small,medium,90
kitti,retinanet,localization_error,Vehicle,large,low,7
kitti,retinanet,localization_error,Vehicle,medium,low,30
kitti,retinanet,localization_error,Vehicle,small,low,107
kitti,retinanet,true_positive,Cyclist,large,none,23
kitti,retinanet,true_positive,Cyclist,medium,none,54
kitti,retinanet,true_positive,Cyclist,small,none,234
kitti,retinanet,true_positive,Pedestrian,large,none,35
kitti,retinanet,true_positive,Pedestrian,medium,none,290
kitti,retinanet,true_positive,Pedestrian,small,none,534
kitti,retinanet,true_positive,Vehicle,large,none,1005
kitti,retinanet,true_positive,Vehicle,medium,none,1355
kitti,retinanet,true_positive,Vehicle,small,none,3953
kitti,rtdetr,class_confusion,Cyclist,small,high,1
kitti,rtdetr,class_confusion,Pedestrian,small,high,12
kitti,rtdetr,class_confusion,Vehicle,medium,high,3
kitti,rtdetr,class_confusion,Vehicle,small,high,11
kitti,rtdetr,duplicate_detection,Cyclist,large,low,102
kitti,rtdetr,duplicate_detection,Cyclist,medium,low,241
kitti,rtdetr,duplicate_detection,Cyclist,small,low,856
kitti,rtdetr,duplicate_detection,Pedestrian,large,low,305
kitti,rtdetr,duplicate_detection,Pedestrian,medium,low,2636
kitti,rtdetr,duplicate_detection,Pedestrian,small,low,2091
kitti,rtdetr,duplicate_detection,Vehicle,large,low,3478
kitti,rtdetr,duplicate_detection,Vehicle,medium,low,4321
kitti,rtdetr,duplicate_detection,Vehicle,small,low,6370
kitti,rtdetr,false_negative,Cyclist,small,critical,1
kitti,rtdetr,false_negative,Pedestrian,small,critical,17
kitti,rtdetr,false_negative,Vehicle,large,medium,1
kitti,rtdetr,false_negative,Vehicle,medium,medium,4
kitti,rtdetr,false_negative,Vehicle,small,medium,16
kitti,rtdetr,false_positive,Cyclist,not_applicable,medium,51081
kitti,rtdetr,false_positive,Pedestrian,not_applicable,medium,101941
kitti,rtdetr,false_positive,Vehicle,not_applicable,low,288025
kitti,rtdetr,localization_error,Cyclist,small,medium,1
kitti,rtdetr,localization_error,Pedestrian,small,medium,15
kitti,rtdetr,localization_error,Vehicle,large,low,1
kitti,rtdetr,localization_error,Vehicle,medium,low,4
kitti,rtdetr,localization_error,Vehicle,small,low,12
kitti,rtdetr,true_positive,Cyclist,large,none,23
kitti,rtdetr,true_positive,Cyclist,medium,none,57
kitti,rtdetr,true_positive,Cyclist,small,none,259
kitti,rtdetr,true_positive,Pedestrian,large,none,36
