dataset,detector,class_name,object_size_bin,risk_level,duplicate_detection_count,high_confidence_count,safety_relevant_count,mean_score,mean_iou
kitti,yolo,Vehicle,small,low,2371,104,0,0.04026478,0.717603
kitti,yolo,Vehicle,medium,low,878,59,0,0.05541117,0.773979
kitti,yolo,Vehicle,large,low,155,15,0,0.07049409,0.816123
kitti,yolo,Pedestrian,small,low,2296,35,2296,0.02461306,0.696735
kitti,yolo,Pedestrian,medium,low,1019,19,1019,0.02054544,0.700491
kitti,yolo,Pedestrian,large,low,178,1,178,0.01368146,0.698486
kitti,yolo,Cyclist,small,low,301,16,301,0.04054284,0.686414
kitti,yolo,Cyclist,medium,low,53,2,53,0.0343116,0.697788
kitti,yolo,Cyclist,large,low,2,0,2,0.00574373,0.53262
kitti,rtdetr,Vehicle,small,low,6370,1214,0,0.12993522,0.611644
kitti,rtdetr,Vehicle,medium,low,4321,71,0,0.02450646,0.625486
kitti,rtdetr,Vehicle,large,low,3478,11,0,0.01136208,0.658755
kitti,rtdetr,Pedestrian,small,low,2091,282,2091,0.09661336,0.619706
kitti,rtdetr,Pedestrian,medium,low,2636,37,2636,0.02017347,0.662583
kitti,rtdetr,Pedestrian,large,low,305,7,305,0.02895538,0.651882
kitti,rtdetr,Cyclist,small,low,856,83,856,0.0912878,0.610752
kitti,rtdetr,Cyclist,medium,low,241,3,241,0.02557654,0.62337
kitti,rtdetr,Cyclist,large,low,102,2,102,0.02563821,0.645741
kitti,retinanet,Vehicle,small,low,828,81,0,0.08305673,0.565835
kitti,retinanet,Vehicle,medium,low,381,35,0,0.09056454,0.552775
kitti,retinanet,Vehicle,large,low,214,10,0,0.04331848,0.550783
kitti,retinanet,Pedestrian,small,low,152,19,152,0.11952719,0.583896
kitti,retinanet,Pedestrian,medium,low,135,6,135,0.05445831,0.564724
kitti,retinanet,Pedestrian,large,low,36,4,36,0.09055022,0.562268
kitti,retinanet,Cyclist,small,low,39,2,39,0.03565407,0.579797
kitti,retinanet,Cyclist,medium,low,12,1,12,0.04698153,0.584431
kitti,retinanet,Cyclist,large,low,7,0,7,0.01889428,0.57127
kitti,faster_rcnn,Vehicle,small,low,402,87,0,0.16835914,0.566053
kitti,faster_rcnn,Vehicle,medium,low,153,36,0,0.18765523,0.572076
kitti,faster_rcnn,Vehicle,large,low,61,15,0,0.13511162,0.533745
kitti,faster_rcnn,Pedestrian,small,low,200,60,200,0.22747967,0.579824
kitti,faster_rcnn,Pedestrian,medium,low,68,15,68,0.16882868,0.56191
kitti,faster_rcnn,Pedestrian,large,low,8,0,8,0.0119915,0.60549
kitti,faster_rcnn,Cyclist,small,low,52,3,52,0.05727747,0.57388
kitti,faster_rcnn,Cyclist,medium,low,10,2,10,0.14340239,0.581468
kitti,faster_rcnn,Cyclist,large,low,4,0,4,0.05658744,0.59027
waymo,yolo,Vehicle,small,low,206,7,0,0.03534299,0.716264
waymo,yolo,Vehicle,medium,low,327,13,0,0.03704693,0.728991
waymo,yolo,Vehicle,large,low,124,9,0,0.05846562,0.720195
waymo,yolo,Pedestrian,small,low,567,2,567,0.01137362,0.665059
waymo,yolo,Pedestrian,medium,low,972,22,972,0.01997259,0.69519
waymo,yolo,Pedestrian,large,low,238,0,238,0.0129776,0.664747
waymo,yolo,Cyclist,small,low,17,1,17,0.04053606,0.656683
waymo,yolo,Cyclist,medium,low,6,0,6,0.02604919,0.623379
waymo,rtdetr,Vehicle,small,low,3215,156,0,0.05979995,0.613567
waymo,rtdetr,Vehicle,medium,low,2471,13,0,0.01609482,0.63976
waymo,rtdetr,Vehicle,large,low,1913,1,0,0.00912729,0.658599
waymo,rtdetr,Pedestrian,small,low,2906,54,2906,0.0413145,0.61678
waymo,rtdetr,Pedestrian,medium,low,1757,23,1757,0.0263062,0.676379
waymo,rtdetr,Pedestrian,large,low,369,13,369,0.03970856,0.691333
waymo,rtdetr,Cyclist,small,low,331,1,331,0.02608474,0.624438
waymo,rtdetr,Cyclist,medium,low,211,0,211,0.01471206,0.654024
waymo,rtdetr,Cyclist,large,low,12,1,12,0.06640309,0.621989
waymo,retinanet,Vehicle,small,low,68,39,0,0.44532476,0.574397
waymo,retinanet,Vehicle,medium,low,48,17,0,0.32270775,0.620512
waymo,retinanet,Vehicle,large,low,34,9,0,0.22402842,0.560506
waymo,retinanet,Pedestrian,small,low,44,11,44,0.2394262,0.583658
waymo,retinanet,Pedestrian,medium,low,41,14,41,0.28444048,0.578623
waymo,retinanet,Pedestrian,large,low,15,5,15,0.24067299,0.573435
waymo,retinanet,Cyclist,small,low,1,0,1,0.14107904,0.541425
waymo,retinanet,Cyclist,medium,low,8,2,8,0.18015305,0.617058
waymo,retinanet,Cyclist,large,low,1,1,1,0.30905935,0.634689
waymo,faster_rcnn,Vehicle,small,low,37,19,0,0.39195255,0.564019
waymo,faster_rcnn,Vehicle,medium,low,39,13,0,0.31891735,0.565447
waymo,faster_rcnn,Vehicle,large,low,34,21,0,0.40459796,0.580351
waymo,faster_rcnn,Pedestrian,small,low,67,38,67,0.39395914,0.592867
waymo,faster_rcnn,Pedestrian,medium,low,51,24,51,0.36230341,0.560086
waymo,faster_rcnn,Pedestrian,large,low,9,5,9,0.40488272,0.603444
