candidate_type,dataset,detector,image_id,image_path,risk_level,analysis_class_name,gt_class_name,pred_class_name,object_size_bin,score,iou,best_same_class_iou,best_wrong_class_iou,priority,gt_x1,gt_y1,gt_x2,gt_y2,pred_x1,pred_y1,pred_x2,pred_y2,image_width,image_height,total_gt_in_image,total_predictions_in_image
class_confusion,waymo,retinanet,2736377008667623133_2676_410_2696_410_1511721511500703,data\processed\milestone_3\images\waymo\external\2736377008667623133_2676_410_2696_410_1511721511500703.png,high,Cyclist,Cyclist,Pedestrian,small,0.90044975,0.89612,0.0,0.89612,5.54657,312.848,342.294,323.374,369.052,312.293,341.644,323.177,368.607,640,640,3,1
class_confusion,waymo,retinanet,10289507859301986274_4200_000_4220_000_1557847403172619,data\processed\milestone_3\images\waymo\external\10289507859301986274_4200_000_4220_000_1557847403172619.png,high,Pedestrian,Pedestrian,Cyclist,small,0.99967253,0.75792,0.0,0.75792,5.507593,0.0,313.323,9.684,347.456,0.0,307.679,10.422,349.528,640,640,34,13
class_confusion,waymo,faster_rcnn,13356997604177841771_3360_000_3380_000_1557267390587932,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267390587932.png,high,Cyclist,Cyclist,Pedestrian,medium,0.97835469,0.734737,0.0,0.734737,5.463092,393.689,331.69,422.742,414.211,396.518,329.52,427.06,410.217,640,640,46,22
class_confusion,waymo,retinanet,9041488218266405018_6454_030_6474_030_1508979397226001,data\processed\milestone_3\images\waymo\external\9041488218266405018_6454_030_6474_030_1508979397226001.png,high,Cyclist,Cyclist,Pedestrian,small,0.93331403,0.777076,0.0,0.777076,5.46039,443.587,338.712,457.903,373.055,445.016,335.63,458.626,373.869,640,640,13,4
class_confusion,waymo,retinanet,2736377008667623133_2676_410_2696_410_1511721511000845,data\processed\milestone_3\images\waymo\external\2736377008667623133_2676_410_2696_410_1511721511000845.png,high,Cyclist,Cyclist,Pedestrian,small,0.98012239,0.727833,0.0,0.727833,5.457955,321.058,339.766,331.585,366.524,322.272,343.364,331.387,365.857,640,640,3,1
class_confusion,waymo,faster_rcnn,13356997604177841771_3360_000_3380_000_1557267389588330,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267389588330.png,high,Cyclist,Cyclist,Pedestrian,medium,0.98428857,0.695095,0.0,0.695095,5.429384,378.428,338.185,407.691,419.935,377.976,324.573,413.54,418.532,640,640,43,18
class_confusion,waymo,faster_rcnn,4690718861228194910_1980_000_2000_000_1552693987749399,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693987749399.png,high,Pedestrian,Pedestrian,Cyclist,small,0.99922955,0.677116,0.0,0.677116,5.426346,0.421,341.662,16.842,384.854,0.953,344.728,19.915,390.604,640,640,37,11
class_confusion,waymo,retinanet,2105808889850693535_2295_720_2315_720_1511129122978903,data\processed\milestone_3\images\waymo\external\2105808889850693535_2295_720_2315_720_1511129122978903.png,high,Pedestrian,Pedestrian,Cyclist,small,0.83543062,0.836546,0.0,0.836546,5.421977,466.956,330.916,477.482,355.989,467.095,333.044,478.391,355.98,640,640,12,2
class_confusion,waymo,faster_rcnn,13356997604177841771_3360_000_3380_000_1557267395087510,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267395087510.png,high,Cyclist,Cyclist,Pedestrian,medium,0.99749243,0.666791,0.0,0.666791,5.414283,394.981,324.148,418.981,403.843,392.069,315.51,424.087,402.402,640,640,33,24
class_confusion,waymo,retinanet,13356997604177841771_3360_000_3380_000_1557267395587309,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267395587309.png,high,Cyclist,Cyclist,Pedestrian,medium,0.998285,0.661973,0.0,0.661973,5.410258,400.639,322.699,424.639,406.345,398.764,315.499,430.699,410.463,640,640,28,13
class_confusion,waymo,faster_rcnn,6324079979569135086_2372_300_2392_300_1506988295759068,data\processed\milestone_3\images\waymo\external\6324079979569135086_2372_300_2392_300_1506988295759068.png,high,Cyclist,Cyclist,Pedestrian,small,0.99315923,0.649828,0.0,0.649828,5.392987,57.58,333.761,70.843,361.994,58.924,330.22,68.89,360.479,640,640,36,14
class_confusion,waymo,faster_rcnn,2105808889850693535_2295_720_2315_720_1511129122478878,data\processed\milestone_3\images\waymo\external\2105808889850693535_2295_720_2315_720_1511129122478878.png,high,Pedestrian,Pedestrian,Cyclist,small,0.9961527,0.645113,0.0,0.645113,5.391266,444.218,329.968,454.324,351.459,444.386,329.229,458.665,350.552,640,640,12,7
class_confusion,waymo,faster_rcnn,14931160836268555821_5778_870_5798_870_1507338354131264,data\processed\milestone_3\images\waymo\external\14931160836268555821_5778_870_5798_870_1507338354131264.png,high,Pedestrian,Pedestrian,Cyclist,small,0.99929917,0.633145,0.0,0.633145,5.382444,369.48,322.594,388.849,365.576,362.358,324.686,390.928,363.608,640,640,4,5
class_confusion,waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857366137460,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857366137460.png,high,Pedestrian,Pedestrian,Cyclist,small,0.96406001,0.665591,0.0,0.665591,5.379651,1.263,325.649,10.948,357.885,0.0,317.243,11.043,356.352,640,640,53,19
class_confusion,waymo,faster_rcnn,9041488218266405018_6454_030_6474_030_1508979407815136,data\processed\milestone_3\images\waymo\external\9041488218266405018_6454_030_6474_030_1508979407815136.png,high,Pedestrian,Pedestrian,Cyclist,small,0.88502085,0.727163,0.0,0.727163,5.362184,351.323,340.029,366.797,377.217,346.722,340.232,367.217,375.624,640,640,5,10
class_confusion,waymo,retinanet,2736377008667623133_2676_410_2696_410_1511721512999749,data\processed\milestone_3\images\waymo\external\2736377008667623133_2676_410_2696_410_1511721512999749.png,high,Cyclist,Cyclist,Pedestrian,small,0.92770499,0.671089,0.0,0.671089,5.348794,304.005,344.928,315.374,376.11,305.169,344.012,318.553,375.424,640,640,3,2
class_confusion,waymo,faster_rcnn,13356997604177841771_3360_000_3380_000_1557267393087606,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267393087606.png,high,Cyclist,Cyclist,Pedestrian,medium,0.99530268,0.597418,0.0,0.597418,5.342721,404.549,322.91,429.451,406.977,407.615,308.983,435.873,408.596,640,640,33,20
class_confusion,waymo,faster_rcnn,4690718861228194910_1980_000_2000_000_1552693988249416,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693988249416.png,high,Pedestrian,Pedestrian,Cyclist,small,0.99026895,0.584737,0.0,0.584737,5.325006,0.0,342.505,10.737,388.647,0.047,342.428,16.155,394.663,640,640,42,12
class_confusion,waymo,faster_rcnn,6324079979569135086_2372_300_2392_300_1506988306258724,data\processed\milestone_3\images\waymo\external\6324079979569135086_2372_300_2392_300_1506988306258724.png,high,Pedestrian,Pedestrian,Cyclist,small,0.94417596,0.628168,0.0,0.628168,5.322344,28.527,319.855,41.79,351.88,26.542,321.76,45.918,350.074,640,640,25,11
class_confusion,waymo,faster_rcnn,13356997604177841771_3360_000_3380_000_1557267392587594,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267392587594.png,high,Cyclist,Cyclist,Pedestrian,medium,0.99664611,0.56943,0.025317,0.56943,5.316076,403.27,323.437,430.429,408.557,406.512,303.599,437.316,410.702,640,640,36,26
class_confusion,waymo,faster_rcnn,13356997604177841771_3360_000_3380_000_1557267396087321,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267396087321.png,high,Cyclist,Cyclist,Pedestrian,medium,0.99711478,0.560618,0.0,0.560618,5.307733,408.007,323.489,432.008,405.555,410.589,309.474,440.935,405.288,640,640,27,11
class_confusion,waymo,retinanet,4690718861228194910_1980_000_2000_000_1552693979749409,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693979749409.png,high,Pedestrian,Pedestrian,Cyclist,small,0.7774663,0.77208,0.0,0.77208,5.299546,69.896,342.189,82.949,376.321,67.767,344.225,82.483,375.658,640,640,39,24
class_confusion,waymo,faster_rcnn,4690718861228194910_1980_000_2000_000_1552693983249433,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693983249433.png,high,Pedestrian,Pedestrian,Cyclist,small,0.99792933,0.549438,0.0,0.549438,5.297367,38.106,343.453,52.422,380.956,31.773,345.289,56.358,382.02,640,640,44,14
class_confusion,waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857363637447,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857363637447.png,high,Pedestrian,Pedestrian,Cyclist,small,0.9910987,0.555524,0.0,0.555524,5.296623,27.579,319.855,39.369,353.566,24.942,313.24,42.637,353.443,640,640,45,15
class_confusion,waymo,faster_rcnn,9114112687541091312_1100_000_1120_000_1544144327216278,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144327216278.png,high,Cyclist,Cyclist,Pedestrian,small,0.92564166,0.609854,0.496715,0.609854,5.285496,418.428,317.485,428.429,341.609,416.933,312.244,427.281,340.179,640,640,42,18
class_confusion,waymo,faster_rcnn,3577352947946244999_3980_000_4000_000_1557847177597529,data\processed\milestone_3\images\waymo\external\3577352947946244999_3980_000_4000_000_1557847177597529.png,high,Pedestrian,Pedestrian,Cyclist,medium,0.8848747,0.649197,0.399361,0.649197,5.284072,451.797,332.918,495.166,449.643,450.681,317.8,499.149,426.831,640,640,39,29
class_confusion,waymo,faster_rcnn,13356997604177841771_3360_000_3380_000_1557267395587309,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267395587309.png,high,Cyclist,Cyclist,Pedestrian,medium,0.9994185,0.51213,0.0,0.51213,5.261548,400.639,322.699,424.639,406.345,403.675,306.794,434.428,402.861,640,640,28,12
class_confusion,waymo,faster_rcnn,4690718861228194910_1980_000_2000_000_1552693983749438,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693983749438.png,high,Pedestrian,Pedestrian,Cyclist,small,0.98997051,0.520367,0.0,0.520367,5.260338,8.316,343.137,20.316,378.323,3.298,347.271,22.181,382.566,640,640,43,12
class_confusion,waymo,retinanet,10289507859301986274_4200_000_4220_000_1557847394172576,data\processed\milestone_3\images\waymo\external\10289507859301986274_4200_000_4220_000_1557847394172576.png,high,Pedestrian,Pedestrian,Cyclist,small,0.99661237,0.501641,0.416041,0.501641,5.248253,8.842,306.37,18.948,337.132,6.842,305.065,25.911,336.4,640,640,29,12
class_confusion,waymo,faster_rcnn,4690718861228194910_1980_000_2000_000_1552693985749361,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693985749361.png,high,Pedestrian,Pedestrian,Cyclist,small,0.94657362,0.549913,0.0,0.549913,5.246487,15.0,341.793,32.474,384.196,7.398,347.779,35.735,384.925,640,640,27,9
class_confusion,waymo,yolo,13356997604177841771_3360_000_3380_000_1557267396087321,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267396087321.png,high,Cyclist,Cyclist,Pedestrian,medium,0.85997087,0.634317,0.0,0.634317,5.244288,408.007,323.489,432.008,405.555,407.028,314.213,439.068,399.565,640,640,27,14
