dataset,detector,failure_type,analysis_class_name,object_size_bin,risk_level,count,high_confidence_count,safety_relevant_count,mean_score,mean_iou,mean_best_same_class_iou,mean_best_wrong_class_iou
kitti,yolo,false_negative,Vehicle,small,medium,34,0,0,,,0.226557,0.03507
kitti,yolo,false_negative,Vehicle,medium,medium,11,0,0,,,0.238382,0.021967
kitti,yolo,false_negative,Vehicle,large,medium,6,0,0,,,0.077291,0.045015
kitti,yolo,false_negative,Pedestrian,small,critical,40,0,40,,,0.243894,0.102452
kitti,yolo,false_negative,Pedestrian,medium,critical,1,0,1,,,0.488011,0.0
kitti,yolo,false_negative,Cyclist,small,critical,2,0,2,,,0.237494,0.164911
kitti,yolo,false_negative,Cyclist,medium,critical,2,0,2,,,0.0,0.289733
kitti,yolo,false_positive,Vehicle,not_applicable,low,9210,495,0,0.04528711,0.397386,0.387298,
kitti,yolo,false_positive,Pedestrian,not_applicable,medium,7686,133,7686,0.02358722,0.438576,0.406422,
kitti,yolo,false_positive,Cyclist,not_applicable,medium,1662,43,1662,0.02462003,0.358351,0.229252,
kitti,yolo,localization_error,Vehicle,small,low,21,2,0,0.0635077,0.363764,0.363764,0.045872
kitti,yolo,localization_error,Vehicle,medium,low,7,1,0,0.10588548,0.371947,0.371947,0.0
kitti,yolo,localization_error,Vehicle,large,low,1,0,0,0.00825297,0.463748,0.463748,0.270089
kitti,yolo,localization_error,Pedestrian,small,medium,30,1,30,0.03892749,0.325152,0.325152,0.131718
kitti,yolo,localization_error,Pedestrian,medium,medium,1,0,1,0.00177866,0.488011,0.488011,0.0
kitti,yolo,localization_error,Cyclist,small,medium,1,0,1,0.00334387,0.474989,0.474989,0.329822
kitti,yolo,class_confusion,Vehicle,small,high,2,0,2,0.01440943,0.405476,0.439862,0.405476
kitti,yolo,class_confusion,Pedestrian,small,high,5,0,5,0.02278256,0.391519,0.411509,0.391519
kitti,yolo,class_confusion,Cyclist,small,high,1,0,1,0.00147035,0.329822,0.474989,0.329822
kitti,yolo,class_confusion,Cyclist,medium,high,1,0,1,0.00187902,0.579466,0.0,0.579466
kitti,yolo,duplicate_detection,Vehicle,small,low,2371,104,0,0.04026478,0.717603,0.717603,
kitti,yolo,duplicate_detection,Vehicle,medium,low,878,59,0,0.05541117,0.773979,0.773979,
kitti,yolo,duplicate_detection,Vehicle,large,low,155,15,0,0.07049409,0.816123,0.816123,
kitti,yolo,duplicate_detection,Pedestrian,small,low,2296,35,2296,0.02461306,0.696735,0.696735,
kitti,yolo,duplicate_detection,Pedestrian,medium,low,1019,19,1019,0.02054544,0.700491,0.700491,
kitti,yolo,duplicate_detection,Pedestrian,large,low,178,1,178,0.01368146,0.698486,0.698486,
kitti,yolo,duplicate_detection,Cyclist,small,low,301,16,301,0.04054284,0.686414,0.686414,
kitti,yolo,duplicate_detection,Cyclist,medium,low,53,2,53,0.0343116,0.697788,0.697788,
kitti,yolo,duplicate_detection,Cyclist,large,low,2,0,2,0.00574373,0.53262,0.53262,
kitti,yolo,true_positive,Vehicle,small,none,4041,3894,0,0.86069642,0.901305,0.901305,
kitti,yolo,true_positive,Vehicle,medium,none,1374,1342,0,0.90490384,0.927755,0.927755,
kitti,yolo,true_positive,Vehicle,large,none,1006,996,0,0.94959886,0.953324,0.953324,
kitti,yolo,true_positive,Pedestrian,small,none,606,489,606,0.60480695,0.762242,0.762242,
kitti,yolo,true_positive,Pedestrian,medium,none,297,270,297,0.78603754,0.819073,0.819073,
kitti,yolo,true_positive,Pedestrian,large,none,36,33,36,0.81045861,0.792136,0.792136,
kitti,yolo,true_positive,Cyclist,small,none,258,222,258,0.71197872,0.836577,0.836577,
kitti,yolo,true_positive,Cyclist,medium,none,55,49,55,0.7949598,0.871975,0.871975,
kitti,yolo,true_positive,Cyclist,large,none,23,23,23,0.94553725,0.902392,0.902392,
kitti,rtdetr,false_negative,Vehicle,small,medium,16,0,0,,,0.318461,0.311855
kitti,rtdetr,false_negative,Vehicle,medium,medium,4,0,0,,,0.396557,0.359327
kitti,rtdetr,false_negative,Vehicle,large,medium,1,0,0,,,0.389134,0.143748
kitti,rtdetr,false_negative,Pedestrian,small,critical,17,0,17,,,0.326148,0.332627
kitti,rtdetr,false_negative,Cyclist,small,critical,1,0,1,,,0.473981,0.473981
kitti,rtdetr,false_positive,Vehicle,not_applicable,low,288025,2569,0,0.01536476,0.096303,0.07945,
kitti,rtdetr,false_positive,Pedestrian,not_applicable,medium,101941,879,101941,0.01574145,0.176058,0.060427,
kitti,rtdetr,false_positive,Cyclist,not_applicable,medium,51081,210,51081,0.01526746,0.224212,0.035971,
kitti,rtdetr,localization_error,Vehicle,small,low,12,2,0,0.13630009,0.411966,0.411966,0.404035
kitti,rtdetr,localization_error,Vehicle,medium,low,4,1,0,0.12183525,0.396557,0.396557,0.359327
kitti,rtdetr,localization_error,Vehicle,large,low,1,0,0,0.01480523,0.389134,0.389134,0.143748
kitti,rtdetr,localization_error,Pedestrian,small,medium,15,3,15,0.15882831,0.367939,0.367939,0.346462
kitti,rtdetr,localization_error,Cyclist,small,medium,1,0,1,0.0475315,0.473981,0.473981,0.473981
kitti,rtdetr,class_confusion,Vehicle,small,high,11,0,11,0.01094125,0.413862,0.422514,0.413862
kitti,rtdetr,class_confusion,Vehicle,medium,high,3,0,3,0.01623957,0.390839,0.436199,0.390839
kitti,rtdetr,class_confusion,Pedestrian,small,high,12,0,12,0.02228448,0.418066,0.386213,0.418066
kitti,rtdetr,class_confusion,Cyclist,small,high,1,1,1,0.42139426,0.473981,0.473981,0.473981
kitti,rtdetr,duplicate_detection,Vehicle,small,low,6370,1214,0,0.12993522,0.611644,0.611644,
kitti,rtdetr,duplicate_detection,Vehicle,medium,low,4321,71,0,0.02450646,0.625486,0.625486,
kitti,rtdetr,duplicate_detection,Vehicle,large,low,3478,11,0,0.01136208,0.658755,0.658755,
kitti,rtdetr,duplicate_detection,Pedestrian,small,low,2091,282,2091,0.09661336,0.619706,0.619706,
kitti,rtdetr,duplicate_detection,Pedestrian,medium,low,2636,37,2636,0.02017347,0.662583,0.662583,
kitti,rtdetr,duplicate_detection,Pedestrian,large,low,305,7,305,0.02895538,0.651882,0.651882,
kitti,rtdetr,duplicate_detection,Cyclist,small,low,856,83,856,0.0912878,0.610752,0.610752,
kitti,rtdetr,duplicate_detection,Cyclist,medium,low,241,3,241,0.02557654,0.62337,0.62337,
kitti,rtdetr,duplicate_detection,Cyclist,large,low,102,2,102,0.02563821,0.645741,0.645741,
kitti,rtdetr,true_positive,Vehicle,small,none,4059,3978,0,0.78879249,0.851626,0.851626,
kitti,rtdetr,true_positive,Vehicle,medium,none,1381,1359,0,0.87440556,0.901755,0.901755,
