dataset,detector,pred_class_name,risk_level,false_positive_count,high_confidence_fp_count,safety_relevant_count,mean_score,mean_iou_to_any_gt
kitti,yolo,Vehicle,low,9210,495,0,0.04528711,0.397386
kitti,yolo,Pedestrian,medium,7686,133,7686,0.02358722,0.438576
kitti,yolo,Cyclist,medium,1662,43,1662,0.02462003,0.358351
kitti,rtdetr,Vehicle,low,288025,2569,0,0.01536476,0.096303
kitti,rtdetr,Pedestrian,medium,101941,879,101941,0.01574145,0.176058
kitti,rtdetr,Cyclist,medium,51081,210,51081,0.01526746,0.224212
kitti,retinanet,Vehicle,low,316615,852,0,0.00591063,0.051443
kitti,retinanet,Pedestrian,medium,67298,331,67298,0.00848547,0.105483
kitti,retinanet,Cyclist,medium,27711,115,27711,0.00739373,0.147456
kitti,faster_rcnn,Vehicle,low,9915,1222,0,0.1058491,0.259255
kitti,faster_rcnn,Pedestrian,medium,10359,667,10359,0.05682064,0.273009
kitti,faster_rcnn,Cyclist,medium,8951,220,8951,0.02824393,0.355098
waymo,yolo,Vehicle,low,2731,100,0,0.03154199,0.34313
waymo,yolo,Pedestrian,medium,3455,44,3455,0.01490053,0.48945
waymo,yolo,Cyclist,medium,375,9,375,0.02183861,0.375121
waymo,rtdetr,Vehicle,low,162755,539,0,0.01194197,0.114504
waymo,rtdetr,Pedestrian,medium,74632,391,74632,0.01560204,0.18424
waymo,rtdetr,Cyclist,medium,54281,92,54281,0.01161264,0.140264
waymo,retinanet,Vehicle,low,1969,572,0,0.26017758,0.310584
waymo,retinanet,Pedestrian,medium,1503,503,1503,0.26506685,0.323062
waymo,retinanet,Cyclist,medium,379,89,379,0.22657318,0.531166
waymo,faster_rcnn,Vehicle,low,2909,1086,0,0.31044685,0.176259
waymo,faster_rcnn,Pedestrian,medium,2625,1094,2625,0.337456,0.235658
waymo,faster_rcnn,Cyclist,medium,1132,221,1132,0.21257789,0.202142
