dataset,detector,class_name,object_size_bin,risk_level,localization_error_count,high_confidence_count,safety_relevant_count,mean_score,mean_iou
kitti,yolo,Vehicle,small,low,21,2,0,0.0635077,0.363764
kitti,yolo,Vehicle,medium,low,7,1,0,0.10588548,0.371947
kitti,yolo,Vehicle,large,low,1,0,0,0.00825297,0.463748
kitti,yolo,Pedestrian,small,medium,30,1,30,0.03892749,0.325152
kitti,yolo,Pedestrian,medium,medium,1,0,1,0.00177866,0.488011
kitti,yolo,Cyclist,small,medium,1,0,1,0.00334387,0.474989
kitti,rtdetr,Vehicle,small,low,12,2,0,0.13630009,0.411966
kitti,rtdetr,Vehicle,medium,low,4,1,0,0.12183525,0.396557
kitti,rtdetr,Vehicle,large,low,1,0,0,0.01480523,0.389134
kitti,rtdetr,Pedestrian,small,medium,15,3,15,0.15882831,0.367939
kitti,rtdetr,Cyclist,small,medium,1,0,1,0.0475315,0.473981
kitti,retinanet,Vehicle,small,low,107,14,0,0.10980915,0.388727
kitti,retinanet,Vehicle,medium,low,30,3,0,0.08700984,0.382355
kitti,retinanet,Vehicle,large,low,7,0,0,0.0026129,0.43165
kitti,retinanet,Pedestrian,small,medium,90,32,90,0.29689731,0.355311
kitti,retinanet,Pedestrian,medium,medium,8,0,8,0.02964702,0.413344
kitti,retinanet,Pedestrian,large,medium,1,0,1,0.00714774,0.482671
kitti,retinanet,Cyclist,small,medium,20,5,20,0.22188321,0.371117
kitti,retinanet,Cyclist,medium,medium,3,0,3,0.03097686,0.448151
kitti,faster_rcnn,Vehicle,small,low,74,16,0,0.1712779,0.349305
kitti,faster_rcnn,Vehicle,medium,low,40,8,0,0.13596282,0.313171
kitti,faster_rcnn,Vehicle,large,low,14,4,0,0.27978401,0.395673
kitti,faster_rcnn,Pedestrian,small,medium,47,17,47,0.2676041,0.366426
kitti,faster_rcnn,Pedestrian,medium,medium,14,5,14,0.2703247,0.408345
kitti,faster_rcnn,Pedestrian,large,medium,3,1,3,0.22452298,0.3272
kitti,faster_rcnn,Cyclist,small,medium,6,2,6,0.29349988,0.349515
kitti,faster_rcnn,Cyclist,medium,medium,1,1,1,0.57665902,0.490761
waymo,yolo,Vehicle,small,low,417,37,0,0.07217,0.278134
waymo,yolo,Vehicle,medium,low,104,18,0,0.1267602,0.341639
waymo,yolo,Vehicle,large,low,39,4,0,0.07454172,0.277722
waymo,yolo,Pedestrian,small,medium,289,3,289,0.01274702,0.268248
waymo,yolo,Pedestrian,medium,medium,25,0,25,0.0044107,0.386722
waymo,yolo,Pedestrian,large,medium,1,0,1,0.00510254,0.48536
waymo,yolo,Cyclist,small,medium,8,1,8,0.06921626,0.332644
waymo,yolo,Cyclist,medium,medium,5,2,5,0.26778494,0.432937
waymo,rtdetr,Vehicle,small,low,5099,94,0,0.0257363,0.257989
waymo,rtdetr,Vehicle,medium,low,294,6,0,0.02078946,0.309262
waymo,rtdetr,Vehicle,large,low,95,1,0,0.01495086,0.302623
waymo,rtdetr,Pedestrian,small,medium,2336,12,2336,0.02196548,0.275697
waymo,rtdetr,Pedestrian,medium,medium,13,0,13,0.01351648,0.388622
waymo,rtdetr,Pedestrian,large,medium,2,0,2,0.05205733,0.357421
waymo,rtdetr,Cyclist,small,medium,178,3,178,0.02996739,0.294557
waymo,rtdetr,Cyclist,medium,medium,6,0,6,0.00593418,0.258077
waymo,rtdetr,Cyclist,large,medium,7,0,7,0.00738467,0.349806
waymo,retinanet,Vehicle,small,low,878,444,0,0.42169265,0.287099
waymo,retinanet,Vehicle,medium,low,115,51,0,0.42330241,0.328869
waymo,retinanet,Vehicle,large,low,54,27,0,0.38436513,0.299005
waymo,retinanet,Pedestrian,small,medium,553,262,553,0.35609439,0.302599
waymo,retinanet,Pedestrian,medium,medium,30,8,30,0.21708909,0.337112
waymo,retinanet,Pedestrian,large,medium,2,2,2,0.65455133,0.471459
waymo,retinanet,Cyclist,small,medium,27,11,27,0.37285092,0.26422
waymo,retinanet,Cyclist,medium,medium,1,0,1,0.05208825,0.495967
waymo,faster_rcnn,Vehicle,small,low,712,467,0,0.50851312,0.283832
waymo,faster_rcnn,Vehicle,medium,low,99,61,0,0.48772646,0.321337
waymo,faster_rcnn,Vehicle,large,low,99,48,0,0.36144817,0.282277
waymo,faster_rcnn,Pedestrian,small,medium,747,430,747,0.42861587,0.270552
waymo,faster_rcnn,Pedestrian,medium,medium,37,22,37,0.44720023,0.339107
waymo,faster_rcnn,Pedestrian,large,medium,2,2,2,0.69732669,0.424932
waymo,faster_rcnn,Cyclist,small,medium,65,42,65,0.44778569,0.32927
waymo,faster_rcnn,Cyclist,medium,medium,4,3,4,0.71150152,0.441247
