detector,class_name,object_size_bin,KITTI_gt_objects,Waymo_gt_objects,KITTI_fn,Waymo_fn,KITTI_recall,Waymo_recall,recall_drop_KITTI_minus_Waymo,KITTI_false_negative_rate,Waymo_false_negative_rate,fnr_increase_Waymo_minus_KITTI
yolo,Pedestrian,small,646,6746,40,6366,0.93808,0.05633,0.88175,0.06192,0.94367,0.88175
yolo,Pedestrian,medium,298,334,1,72,0.996644,0.784431,0.212213,0.003356,0.215569,0.212213
yolo,Pedestrian,large,36,47,0,1,1.0,0.978723,0.021277,0.0,0.021277,0.021277
yolo,Pedestrian,all_sizes,980,7127,41,6439,0.958163,0.096534,0.861629,0.041837,0.903466,0.861629
yolo,Cyclist,small,260,684,2,629,0.992308,0.080409,0.911899,0.007692,0.919591,0.911899
yolo,Cyclist,medium,57,66,2,31,0.964912,0.530303,0.434609,0.035088,0.469697,0.434609
yolo,Cyclist,large,23,14,0,10,1.0,0.285714,0.714286,0.0,0.714286,0.714286
yolo,Cyclist,all_sizes,340,764,4,670,0.988235,0.123037,0.865198,0.011765,0.876963,0.865198
yolo,Vulnerable_Road_Users,small,906,7430,42,6995,0.953642,0.058546,0.895096,0.046358,0.941454,0.895096
yolo,Vulnerable_Road_Users,medium,355,400,3,103,0.991549,0.7425,0.249049,0.008451,0.2575,0.249049
yolo,Vulnerable_Road_Users,large,59,61,0,11,1.0,0.819672,0.180328,0.0,0.180328,0.180328
yolo,Vulnerable_Road_Users,all_sizes,1320,7891,45,7109,0.965909,0.0991,0.866809,0.034091,0.9009,0.866809
rtdetr,Pedestrian,small,646,6746,17,5241,0.973684,0.223095,0.750589,0.026316,0.776905,0.750589
rtdetr,Pedestrian,medium,298,334,0,44,1.0,0.868263,0.131737,0.0,0.131737,0.131737
rtdetr,Pedestrian,large,36,47,0,2,1.0,0.957447,0.042553,0.0,0.042553,0.042553
rtdetr,Pedestrian,all_sizes,980,7127,17,5287,0.982653,0.258173,0.72448,0.017347,0.741827,0.72448
rtdetr,Cyclist,small,260,684,1,516,0.996154,0.245614,0.75054,0.003846,0.754386,0.75054
rtdetr,Cyclist,medium,57,66,0,8,1.0,0.878788,0.121212,0.0,0.121212,0.121212
rtdetr,Cyclist,large,23,14,0,9,1.0,0.357143,0.642857,0.0,0.642857,0.642857
rtdetr,Cyclist,all_sizes,340,764,1,533,0.997059,0.302356,0.694703,0.002941,0.697644,0.694703
rtdetr,Vulnerable_Road_Users,small,906,7430,18,5757,0.980132,0.225168,0.754964,0.019868,0.774832,0.754964
rtdetr,Vulnerable_Road_Users,medium,355,400,0,52,1.0,0.87,0.13,0.0,0.13,0.13
rtdetr,Vulnerable_Road_Users,large,59,61,0,11,1.0,0.819672,0.180328,0.0,0.180328,0.180328
rtdetr,Vulnerable_Road_Users,all_sizes,1320,7891,18,5820,0.986364,0.262451,0.723913,0.013636,0.737549,0.723913
retinanet,Pedestrian,small,646,6746,112,5881,0.826625,0.128224,0.698401,0.173375,0.871776,0.698401
retinanet,Pedestrian,medium,298,334,8,67,0.973154,0.799401,0.173753,0.026846,0.200599,0.173753
retinanet,Pedestrian,large,36,47,1,2,0.972222,0.957447,0.014775,0.027778,0.042553,0.014775
retinanet,Pedestrian,all_sizes,980,7127,121,5950,0.876531,0.165147,0.711384,0.123469,0.834853,0.711384
retinanet,Cyclist,small,260,684,26,602,0.9,0.119883,0.780117,0.1,0.880117,0.780117
retinanet,Cyclist,medium,57,66,3,12,0.947368,0.818182,0.129186,0.052632,0.181818,0.129186
retinanet,Cyclist,large,23,14,0,10,1.0,0.285714,0.714286,0.0,0.714286,0.714286
retinanet,Cyclist,all_sizes,340,764,29,624,0.914706,0.183246,0.73146,0.085294,0.816754,0.73146
retinanet,Vulnerable_Road_Users,small,906,7430,138,6483,0.847682,0.127456,0.720226,0.152318,0.872544,0.720226
retinanet,Vulnerable_Road_Users,medium,355,400,11,79,0.969014,0.8025,0.166514,0.030986,0.1975,0.166514
retinanet,Vulnerable_Road_Users,large,59,61,1,12,0.983051,0.803279,0.179772,0.016949,0.196721,0.179772
retinanet,Vulnerable_Road_Users,all_sizes,1320,7891,150,6574,0.886364,0.166899,0.719465,0.113636,0.833101,0.719465
faster_rcnn,Pedestrian,small,646,6746,64,6011,0.900929,0.108953,0.791976,0.099071,0.891047,0.791976
faster_rcnn,Pedestrian,medium,298,334,16,83,0.946309,0.751497,0.194812,0.053691,0.248503,0.194812
faster_rcnn,Pedestrian,large,36,47,3,3,0.916667,0.93617,-0.019503,0.083333,0.06383,-0.019503
faster_rcnn,Pedestrian,all_sizes,980,7127,83,6097,0.915306,0.144521,0.770785,0.084694,0.855479,0.770785
faster_rcnn,Cyclist,small,260,684,10,615,0.961538,0.100877,0.860661,0.038462,0.899123,0.860661
faster_rcnn,Cyclist,medium,57,66,2,25,0.964912,0.621212,0.3437,0.035088,0.378788,0.3437
faster_rcnn,Cyclist,large,23,14,0,10,1.0,0.285714,0.714286,0.0,0.714286,0.714286
faster_rcnn,Cyclist,all_sizes,340,764,12,650,0.964706,0.149215,0.815491,0.035294,0.850785,0.815491
faster_rcnn,Vulnerable_Road_Users,small,906,7430,74,6626,0.918322,0.10821,0.810112,0.081678,0.89179,0.810112
faster_rcnn,Vulnerable_Road_Users,medium,355,400,18,108,0.949296,0.73,0.219296,0.050704,0.27,0.219296
faster_rcnn,Vulnerable_Road_Users,large,59,61,3,13,0.949153,0.786885,0.162268,0.050847,0.213115,0.162268
faster_rcnn,Vulnerable_Road_Users,all_sizes,1320,7891,95,6747,0.92803,0.144975,0.783055,0.07197,0.855025,0.783055
