dataset,detector,class_name,object_size_bin,tp,fn,gt_objects,recall,false_negative_rate,small_fn,medium_fn,large_fn,critical_fn,mean_normalized_area_of_missed_objects
kitti,yolo,Pedestrian,small,606,40,646,0.93808,0.06192,40,0,0,40,0.00068348
kitti,yolo,Pedestrian,medium,297,1,298,0.996644,0.003356,0,1,0,1,0.009274
kitti,yolo,Pedestrian,large,36,0,36,1.0,0.0,0,0,0,0,
kitti,yolo,Pedestrian,all_sizes,939,41,980,0.958163,0.041837,40,1,0,41,0.000893
kitti,yolo,Cyclist,small,258,2,260,0.992308,0.007692,2,0,0,2,0.0007105
kitti,yolo,Cyclist,medium,55,2,57,0.964912,0.035088,0,2,0,2,0.008199
kitti,yolo,Cyclist,large,23,0,23,1.0,0.0,0,0,0,0,
kitti,yolo,Cyclist,all_sizes,336,4,340,0.988235,0.011765,2,2,0,4,0.00445475
kitti,yolo,Vulnerable_Road_Users,small,864,42,906,0.953642,0.046358,42,0,0,42,0.00068476
kitti,yolo,Vulnerable_Road_Users,medium,352,3,355,0.991549,0.008451,0,3,0,3,0.00855733
kitti,yolo,Vulnerable_Road_Users,large,59,0,59,1.0,0.0,0,0,0,0,
kitti,yolo,Vulnerable_Road_Users,all_sizes,1275,45,1320,0.965909,0.034091,42,3,0,45,0.0012096
kitti,rtdetr,Pedestrian,small,629,17,646,0.973684,0.026316,17,0,0,17,0.00075335
kitti,rtdetr,Pedestrian,medium,298,0,298,1.0,0.0,0,0,0,0,
kitti,rtdetr,Pedestrian,large,36,0,36,1.0,0.0,0,0,0,0,
kitti,rtdetr,Pedestrian,all_sizes,963,17,980,0.982653,0.017347,17,0,0,17,0.00075335
kitti,rtdetr,Cyclist,small,259,1,260,0.996154,0.003846,1,0,0,1,0.000897
kitti,rtdetr,Cyclist,medium,57,0,57,1.0,0.0,0,0,0,0,
kitti,rtdetr,Cyclist,large,23,0,23,1.0,0.0,0,0,0,0,
kitti,rtdetr,Cyclist,all_sizes,339,1,340,0.997059,0.002941,1,0,0,1,0.000897
kitti,rtdetr,Vulnerable_Road_Users,small,888,18,906,0.980132,0.019868,18,0,0,18,0.00076133
kitti,rtdetr,Vulnerable_Road_Users,medium,355,0,355,1.0,0.0,0,0,0,0,
kitti,rtdetr,Vulnerable_Road_Users,large,59,0,59,1.0,0.0,0,0,0,0,
kitti,rtdetr,Vulnerable_Road_Users,all_sizes,1302,18,1320,0.986364,0.013636,18,0,0,18,0.00076133
kitti,retinanet,Pedestrian,small,534,112,646,0.826625,0.173375,112,0,0,112,0.00088907
kitti,retinanet,Pedestrian,medium,290,8,298,0.973154,0.026846,0,8,0,8,0.00662563
kitti,retinanet,Pedestrian,large,35,1,36,0.972222,0.027778,0,0,1,1,0.020886
kitti,retinanet,Pedestrian,all_sizes,859,121,980,0.876531,0.123469,112,8,1,121,0.00143361
kitti,retinanet,Cyclist,small,234,26,260,0.9,0.1,26,0,0,26,0.0010095
kitti,retinanet,Cyclist,medium,54,3,57,0.947368,0.052632,0,3,0,3,0.006871
kitti,retinanet,Cyclist,large,23,0,23,1.0,0.0,0,0,0,0,
kitti,retinanet,Cyclist,all_sizes,311,29,340,0.914706,0.085294,26,3,0,29,0.00161586
kitti,retinanet,Vulnerable_Road_Users,small,768,138,906,0.847682,0.152318,138,0,0,138,0.00091176
kitti,retinanet,Vulnerable_Road_Users,medium,344,11,355,0.969014,0.030986,0,11,0,11,0.00669255
kitti,retinanet,Vulnerable_Road_Users,large,58,1,59,0.983051,0.016949,0,0,1,1,0.020886
kitti,retinanet,Vulnerable_Road_Users,all_sizes,1170,150,1320,0.886364,0.113636,138,11,1,150,0.00146885
kitti,faster_rcnn,Pedestrian,small,582,64,646,0.900929,0.099071,64,0,0,64,0.00116603
kitti,faster_rcnn,Pedestrian,medium,282,16,298,0.946309,0.053691,0,16,0,16,0.00715069
kitti,faster_rcnn,Pedestrian,large,33,3,36,0.916667,0.083333,0,0,3,3,0.01917667
kitti,faster_rcnn,Pedestrian,all_sizes,897,83,980,0.915306,0.084694,64,16,3,83,0.00297069
kitti,faster_rcnn,Cyclist,small,250,10,260,0.961538,0.038462,10,0,0,10,0.0012352
kitti,faster_rcnn,Cyclist,medium,55,2,57,0.964912,0.035088,0,2,0,2,0.006179
kitti,faster_rcnn,Cyclist,large,23,0,23,1.0,0.0,0,0,0,0,
kitti,faster_rcnn,Cyclist,all_sizes,328,12,340,0.964706,0.035294,10,2,0,12,0.00205917
kitti,faster_rcnn,Vulnerable_Road_Users,small,832,74,906,0.918322,0.081678,74,0,0,74,0.00117538
kitti,faster_rcnn,Vulnerable_Road_Users,medium,337,18,355,0.949296,0.050704,0,18,0,18,0.00704272
kitti,faster_rcnn,Vulnerable_Road_Users,large,56,3,59,0.949153,0.050847,0,0,3,3,0.01917667
kitti,faster_rcnn,Vulnerable_Road_Users,all_sizes,1225,95,1320,0.92803,0.07197,74,18,3,95,0.00285555
waymo,yolo,Pedestrian,small,380,6366,6746,0.05633,0.94367,6366,0,0,6366,0.00041253
waymo,yolo,Pedestrian,medium,262,72,334,0.784431,0.215569,0,72,0,72,0.006421
waymo,yolo,Pedestrian,large,46,1,47,0.978723,0.021277,0,0,1,1,0.025811
waymo,yolo,Pedestrian,all_sizes,688,6439,7127,0.096534,0.903466,6366,72,1,6439,0.00048366
waymo,yolo,Cyclist,small,55,629,684,0.080409,0.919591,629,0,0,629,0.00041372
waymo,yolo,Cyclist,medium,35,31,66,0.530303,0.469697,0,31,0,31,0.00579035
waymo,yolo,Cyclist,large,4,10,14,0.285714,0.714286,0,0,10,10,0.0243642
waymo,yolo,Cyclist,all_sizes,94,670,764,0.123037,0.876963,629,31,10,670,0.00101996
waymo,yolo,Vulnerable_Road_Users,small,435,6995,7430,0.058546,0.941454,6995,0,0,6995,0.00041264
waymo,yolo,Vulnerable_Road_Users,medium,297,103,400,0.7425,0.2575,0,103,0,103,0.00623119
waymo,yolo,Vulnerable_Road_Users,large,50,11,61,0.819672,0.180328,0,0,11,11,0.02449573
waymo,yolo,Vulnerable_Road_Users,all_sizes,782,7109,7891,0.0991,0.9009,6995,103,11,7109,0.00053421
waymo,rtdetr,Pedestrian,small,1505,5241,6746,0.223095,0.776905,5241,0,0,5241,0.00029201
waymo,rtdetr,Pedestrian,medium,290,44,334,0.868263,0.131737,0,44,0,44,0.00628005
waymo,rtdetr,Pedestrian,large,45,2,47,0.957447,0.042553,0,0,2,2,0.0211395
waymo,rtdetr,Pedestrian,all_sizes,1840,5287,7127,0.258173,0.741827,5241,44,2,5287,0.00034973
waymo,rtdetr,Cyclist,small,168,516,684,0.245614,0.754386,516,0,0,516,0.00028163
waymo,rtdetr,Cyclist,medium,58,8,66,0.878788,0.121212,0,8,0,8,0.00624825
waymo,rtdetr,Cyclist,large,5,9,14,0.357143,0.642857,0,0,9,9,0.02479856
waymo,rtdetr,Cyclist,all_sizes,231,533,764,0.302356,0.697644,516,8,9,533,0.00078517
waymo,rtdetr,Vulnerable_Road_Users,small,1673,5757,7430,0.225168,0.774832,5757,0,0,5757,0.00029108
waymo,rtdetr,Vulnerable_Road_Users,medium,348,52,400,0.87,0.13,0,52,0,52,0.00627515
waymo,rtdetr,Vulnerable_Road_Users,large,50,11,61,0.819672,0.180328,0,0,11,11,0.02413327
waymo,rtdetr,Vulnerable_Road_Users,all_sizes,2071,5820,7891,0.262451,0.737549,5757,52,11,5820,0.00038961
waymo,retinanet,Pedestrian,small,865,5881,6746,0.128224,0.871776,5881,0,0,5881,0.00035035
waymo,retinanet,Pedestrian,medium,267,67,334,0.799401,0.200599,0,67,0,67,0.00641107
waymo,retinanet,Pedestrian,large,45,2,47,0.957447,0.042553,0,0,2,2,0.020723
