dataset,detector,image_id,image_path,false_negative_count,false_positive_count,localization_error_count,class_confusion_count,duplicate_detection_count,high_confidence_false_positive_count,safety_relevant_failure_count,total_non_tp_failure_events,failure_type_score,image_width,image_height,total_gt_in_image,total_predictions_in_image
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144339816354,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144339816354.png,42,295,26,10,9,3,283,382,743.019443,640,640,47,300
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144341816280,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144341816280.png,40,292,24,10,13,4,281,379,727.996116,640,640,48,300
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144332316253,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144332316253.png,41,297,28,13,3,3,258,382,726.129293,640,640,44,300
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144341316314,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144341316314.png,40,291,20,6,18,3,289,375,725.125401,640,640,49,300
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144335816195,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144335816195.png,37,292,27,9,15,4,283,380,724.073712,640,640,45,300
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144340316344,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144340316344.png,40,294,22,8,4,2,279,368,723.886424,640,640,46,300
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144343816197,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144343816197.png,36,292,19,12,24,3,286,383,723.316912,640,640,44,300
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144342816305,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144342816305.png,40,294,23,7,15,4,280,379,722.949788,640,640,46,300
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144342316340,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144342316340.png,39,293,20,11,14,4,277,377,721.937541,640,640,46,300
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144335316215,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144335316215.png,35,292,25,9,17,4,285,378,721.097983,640,640,43,300
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144334816198,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144334816198.png,36,292,23,11,18,2,281,380,719.797111,640,640,44,300
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144326216286,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144326216286.png,38,290,22,14,11,1,270,375,717.770137,640,640,48,300
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144344316123,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144344316123.png,39,292,20,10,11,6,277,372,716.953149,640,640,47,300
