dataset,detector,image_id,image_path,missed_pedestrians,missed_cyclists,small_missed_vru,medium_missed_vru,large_missed_vru,total_safety_false_negatives,max_best_same_class_iou,max_best_wrong_class_iou,safety_critical_score,image_width,image_height,total_gt_in_image,total_predictions_in_image
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857366637459,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857366637459.png,36,2,38,0,0,38,0.0,0.617684,57.5,640,640,49,12
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857363137470,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857363137470.png,35,2,37,0,0,37,0.0,0.112372,56.0,640,640,49,8
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857366637459,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857366637459.png,35,2,37,0,0,37,0.253992,0.00248,56.0,640,640,49,11
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857358135995,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857358135995.png,36,1,37,0,0,37,0.0,0.0,55.75,640,640,55,6
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857358636513,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857358636513.png,36,1,37,0,0,37,0.0,0.0,55.75,640,640,53,6
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857358636513,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857358636513.png,36,1,37,0,0,37,0.450038,0.010986,55.75,640,640,53,19
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857358636513,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857358636513.png,36,1,37,0,0,37,0.363959,0.316582,55.75,640,640,53,27
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857366137460,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857366137460.png,34,2,36,0,0,36,0.254389,0.193557,54.5,640,640,53,14
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857366137460,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857366137460.png,34,2,36,0,0,36,0.330517,0.722971,54.5,640,640,53,19
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857366137460,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857366137460.png,34,2,36,0,0,36,0.375181,0.310362,54.5,640,640,53,14
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857358135995,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857358135995.png,35,1,36,0,0,36,0.292657,0.446578,54.25,640,640,55,30
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857362637395,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857362637395.png,33,2,35,0,0,35,0.0,0.132043,53.0,640,640,48,9
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857365637432,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857365637432.png,33,2,35,0,0,35,0.0,0.006971,53.0,640,640,49,9
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857366637459,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857366637459.png,33,2,35,0,0,35,0.168438,0.159843,53.0,640,640,49,17
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857356634947,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857356634947.png,34,1,35,0,0,35,0.193051,0.080783,52.75,640,640,60,18
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857357635506,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857357635506.png,34,1,35,0,0,35,0.0,0.0,52.75,640,640,56,6
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857359136948,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857359136948.png,34,1,35,0,0,35,0.054198,0.623428,52.75,640,640,53,17
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857359637183,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857359637183.png,34,1,35,0,0,35,0.0,0.534578,52.75,640,640,53,11
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857357635506,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857357635506.png,34,1,35,0,0,35,0.273164,0.037042,52.75,640,640,56,18
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857358135995,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857358135995.png,34,1,35,0,0,35,0.283122,0.030925,52.75,640,640,55,24
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857359136948,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857359136948.png,34,1,35,0,0,35,0.459179,0.206991,52.75,640,640,53,20
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857357635506,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857357635506.png,34,1,35,0,0,35,0.294748,0.306123,52.75,640,640,56,17
